Year,Month,Day,Hour,Minute,Second,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,batt_mV
2025,07,17,12,20,00,1957,0,3553,1229,29,113,0,2338,5512
2025,07,17,12,20,10,1984,2,3554,1232,30,28,0,2338,5512
2025,07,17,12,20,20,1984,1,3553,1278,28,15,0,2339,5512
2025,07,17,12,20,30,1982,0,3551,1277,32,2,0,2340,5512
2025,07,17,12,20,40,1971,0,3549,1275,30,15,1,2339,5512
2025,07,17,12,20,50,1908,0,3547,1272,29,16,0,2339,5512
2025,07,17,12,21,00,1834,0,3546,1267,30,10,1,2338,5512
2025,07,17,12,21,10,1926,1,3547,1279,30,29,1,2339,5512
2025,07,17,12,21,20,1900,0,3545,1284,30,31,0,2305,5507
2025,07,17,12,21,30,1795,0,3547,1282,30,34,0,2351,5512
2025,07,17,12,21,40,1709,0,3546,1275,29,31,0,2353,5512
2025,07,17,12,21,50,1640,0,3544,1230,30,29,0,2355,5512
2025,07,17,12,22,00,1639,0,3546,1235,30,27,0,2354,5512
2025,07,17,12,22,10,1634,0,3545,1233,29,23,0,2280,5507
2025,07,17,12,22,20,1629,0,3546,1222,29,21,0,2310,5512
2025,07,17,12,22,30,1622,0,3545,1203,28,19,0,2275,5512
2025,07,17,12,22,40,1619,0,3544,1195,30,17,0,2209,5512
2025,07,17,12,22,50,1614,1,3545,1193,30,17,0,2202,5512
2025,07,17,12,23,00,1609,0,3544,1186,30,15,1,2155,5498
2025,07,17,12,23,10,1601,0,3544,1181,30,12,0,2152,5512
2025,07,17,12,23,20,1597,0,3545,1172,29,9,1,2034,5512
2025,07,17,12,23,30,1590,1,3544,1171,30,9,0,1945,5512
2025,07,17,12,23,40,1575,1,3545,1172,30,6,0,1874,5512
2025,07,17,12,23,50,1526,1,3543,1171,30,3,0,1805,5512
2025,07,17,12,24,00,1500,1,3544,1169,30,2,0,1659,5512
2025,07,17,12,24,10,1488,0,3543,1169,30,0,1,1547,5512
2025,07,17,12,24,20,1483,0,3544,1166,30,3,0,1528,5512
2025,07,17,12,24,30,1480,0,3544,1164,30,6,0,1410,5512
2025,07,17,12,24,40,1477,0,3544,1161,30,8,1,1355,5512
2025,07,17,12,24,50,1481,0,3543,1160,30,8,0,1355,5517
2025,07,17,12,25,00,1482,1,3542,1156,30,10,1,1318,5517
2025,07,17,12,25,10,1494,0,3542,1141,30,10,0,1297,5512
2025,07,17,12,25,20,1536,0,3543,1131,29,12,0,1252,5512
2025,07,17,12,25,30,1536,0,3544,1128,33,14,0,1200,5512
2025,07,17,12,25,40,1554,0,3544,1124,29,15,0,1185,5512
2025,07,17,12,25,50,1573,0,3542,1120,30,17,1,1159,5512
2025,07,17,12,26,00,1579,0,3542,1117,30,16,0,1157,5512
2025,07,17,12,26,10,1579,0,3542,1114,29,18,1,1149,5512
2025,07,17,12,26,20,1579,0,3542,1111,30,20,0,1146,5512
2025,07,17,12,26,30,1578,2,3542,1111,29,20,0,1139,5512
2025,07,17,12,26,40,1577,0,3541,1110,30,22,1,1135,5512
2025,07,17,12,26,50,1577,1,3541,1109,30,24,1,1130,5512
2025,07,17,12,27,00,1575,1,3541,1109,30,25,1,1125,5512
2025,07,17,12,27,10,1575,1,3541,1107,29,25,0,1113,5512
2025,07,17,12,27,20,1574,0,3542,1108,29,25,0,1101,5512
2025,07,17,12,27,30,1573,0,3540,1117,30,26,0,1093,5512
2025,07,17,12,27,40,1573,0,3542,1117,30,27,0,1091,5512
2025,07,17,12,27,50,1573,1,3541,1121,29,31,3,1111,5512
2025,07,17,12,28,00,1571,0,3540,1123,30,29,0,1113,5512
2025,07,17,12,28,10,1575,2,3540,1123,30,27,0,1110,5517
2025,07,17,12,28,20,1579,0,3540,1122,30,28,1,1107,5517
2025,07,17,12,28,30,1578,1,3541,1121,30,30,0,1108,5512
2025,07,17,12,28,40,1608,0,3542,1122,30,31,1,1107,5512
2025,07,17,12,28,50,1631,0,3542,1120,30,34,1,1105,5512
2025,07,17,12,29,00,1631,1,3541,1121,30,32,1,1105,5512
