Year,Month,Day,Hour,Minute,Second,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,batt_mV
2025,07,03,12,55,00,0,3973,181,2753,4,3672,2349,1101,4642
2025,07,03,12,55,10,0,3973,181,2752,4,3670,2337,1100,4637
2025,07,03,12,55,20,0,3973,182,2740,4,3670,2345,1099,4637
2025,07,03,12,55,30,0,3973,182,2731,4,3670,2343,1101,4642
2025,07,03,12,55,40,0,3973,181,2723,3,3671,2343,1100,4642
2025,07,03,12,55,50,0,3973,181,2725,4,3671,2342,1100,4642
2025,07,03,12,56,00,0,3973,182,2731,4,3670,2340,1100,4637
2025,07,03,12,56,10,0,3973,181,2732,3,3671,2341,1100,4642
2025,07,03,12,56,20,0,3973,182,2731,4,3671,2332,1100,4642
2025,07,03,12,56,30,0,3973,182,2731,4,3670,2308,1100,4642
2025,07,03,12,56,40,0,3973,182,2731,3,3671,2309,1100,4637
2025,07,03,12,56,50,0,3973,183,2729,4,3671,2363,1100,4637
2025,07,03,12,57,00,0,3974,182,2729,4,3671,2360,1101,4637
2025,07,03,12,57,10,1,3973,183,2731,4,3671,2353,1099,4637
2025,07,03,12,57,20,0,3973,183,2730,3,3670,2330,1100,4642
2025,07,03,12,57,30,0,3973,182,2729,3,3671,2294,1099,4642
2025,07,03,12,57,40,0,3974,183,2722,4,3672,2286,1100,4642
2025,07,03,12,57,50,0,3974,183,2711,3,3671,2278,1099,4642
2025,07,03,12,58,00,0,3973,183,2706,4,3671,2230,1098,4642
2025,07,03,12,58,10,0,3973,183,2702,4,3671,2134,1097,4642
2025,07,03,12,58,20,0,3974,183,2698,4,3672,2116,1097,4637
2025,07,03,12,58,30,0,3973,183,2695,4,3671,2103,1097,4642
2025,07,03,12,58,40,0,3973,184,2693,4,3672,2099,1097,4637
2025,07,03,12,58,50,0,3973,183,2692,4,3671,2104,1097,4642
2025,07,03,12,59,00,0,3973,184,2687,4,3671,2145,1097,4642
2025,07,03,12,59,10,0,3973,184,2688,4,3671,2144,1098,4642
2025,07,03,12,59,20,0,3973,184,2686,3,3671,2145,1098,4642
2025,07,03,12,59,30,0,3973,184,2680,3,3671,2144,1098,4642
2025,07,03,12,59,40,0,3973,184,2671,4,3671,2144,1098,4642
2025,07,03,12,59,50,0,3973,184,2672,4,3671,2145,1097,4642
2025,07,03,13,00,00,0,3973,184,2670,4,3671,2144,1098,4642
2025,07,03,13,00,10,0,3973,184,2659,4,3670,2143,1098,4642
2025,07,03,13,00,20,0,3973,184,2726,4,3672,2143,1098,4642
2025,07,03,13,00,30,0,3973,184,2721,4,3671,2142,1097,4642
2025,07,03,13,00,40,0,3973,185,2718,5,3671,2142,1098,4642
2025,07,03,13,00,50,0,3974,184,2669,4,3671,2142,1098,4642
2025,07,03,13,01,00,0,3973,184,2725,4,3670,2143,1097,4642
2025,07,03,13,01,10,0,3973,184,2725,4,3671,2170,1098,4637
2025,07,03,13,01,20,0,3973,185,2721,4,3671,2167,1096,4642
2025,07,03,13,01,30,0,3971,184,2716,4,3671,2166,1097,4642
2025,07,03,13,01,40,0,3973,185,2715,4,3670,2160,1097,4642
2025,07,03,13,01,50,0,3973,185,2712,4,3672,2160,1097,4642
2025,07,03,13,02,00,0,3973,185,2710,4,3670,2156,1096,4642
2025,07,03,13,02,10,0,3973,185,2709,3,3672,2157,1097,4642
2025,07,03,13,02,20,0,3973,185,2707,4,3671,2156,1097,4642
2025,07,03,13,02,30,0,3973,184,2706,4,3671,2152,1097,4642
2025,07,03,13,02,40,0,3973,186,2706,3,3671,2137,1097,4642
2025,07,03,13,02,50,0,3972,186,2704,5,3672,2065,1095,4642
2025,07,03,13,03,00,0,3973,186,2694,3,3671,2034,1096,4642
2025,07,03,13,03,10,0,3973,186,2663,4,3671,2017,1095,4642
2025,07,03,13,03,20,0,3973,185,2640,4,3671,2007,1095,4642
2025,07,03,13,03,30,0,3973,185,2627,4,3672,1999,1095,4642
2025,07,03,13,03,40,0,3972,185,2618,4,3671,1994,1095,4642
2025,07,03,13,03,50,0,3973,186,2612,3,3671,1988,1094,4642
2025,07,03,13,04,00,0,3973,186,2606,3,3672,1986,1095,4642
2025,07,03,13,04,10,0,3973,186,2607,5,3672,1982,1095,4642
2025,07,03,13,04,20,0,3973,186,2606,3,3671,1978,1094,4642
2025,07,03,13,04,30,0,3973,185,2570,4,3672,1971,1094,4642
2025,07,03,13,04,40,0,3973,185,2497,4,3672,1943,1094,4642
2025,07,03,13,04,50,0,3973,186,2496,4,3671,1901,1094,4642
2025,07,03,13,05,00,0,3973,186,2536,3,3672,1910,1093,4637
2025,07,03,13,05,10,0,3973,186,2536,3,3672,1907,1093,4642
2025,07,03,13,05,20,0,3973,187,2535,3,3671,1908,1093,4642
2025,07,03,13,05,30,0,3973,186,2533,1,3672,1907,1094,4642
2025,07,03,13,05,40,0,3973,186,2533,3,3670,1904,1093,4642
2025,07,03,13,05,50,0,3973,186,2529,3,3671,1904,1094,4642
2025,07,03,13,06,00,0,3973,186,2443,3,3672,1904,1093,4642
2025,07,03,13,06,10,0,3973,186,2342,5,3671,1902,1093,4642
2025,07,03,13,06,20,0,3972,186,2245,4,3672,1903,1093,4642
2025,07,03,13,06,30,0,3973,187,2197,4,3670,1901,1093,4642
2025,07,03,13,06,40,0,3973,186,2164,3,3670,1899,1093,4642
2025,07,03,13,06,50,0,3973,187,2104,3,3670,1898,1093,4642
2025,07,03,13,07,00,0,3974,186,2082,4,3672,1897,1093,4642
2025,07,03,13,07,10,0,3973,186,2078,4,3670,1889,1092,4642
2025,07,03,13,07,20,0,3973,187,2089,4,3672,1877,1092,4642
2025,07,03,13,07,30,0,3972,187,2090,4,3670,1861,1092,4642
2025,07,03,13,07,40,0,3973,186,2088,4,3671,1840,1092,4642
2025,07,03,13,07,50,0,3973,186,2088,4,3671,1827,1092,4642
2025,07,03,13,08,00,0,3973,186,2086,4,3672,1818,1091,4642
2025,07,03,13,08,10,0,3973,185,2085,4,3671,1810,1092,4642
2025,07,03,13,08,20,0,3973,185,2078,4,3671,1822,1092,4642
2025,07,03,13,08,30,0,3973,184,2070,4,3671,1822,1091,4642
2025,07,03,13,08,40,0,3973,184,2087,4,3670,1822,1091,4642
2025,07,03,13,08,50,0,3973,184,2085,4,3670,1823,1091,4642
2025,07,03,13,09,00,0,3973,184,2086,4,3670,1825,1091,4642
2025,07,03,13,09,10,0,3972,184,2085,4,3671,1825,1092,4642
2025,07,03,13,09,20,0,3973,184,2084,3,3670,1822,1092,4642
2025,07,03,13,09,30,0,3972,184,2080,4,3670,1824,1091,4637
2025,07,03,13,09,40,0,3973,184,2052,4,3671,1824,1091,4642
2025,07,03,13,09,50,0,3972,184,1937,3,3671,1822,1091,4642
2025,07,03,13,10,00,0,3972,185,1854,3,3669,1822,1091,4642
2025,07,03,13,10,10,0,3973,184,1854,3,3670,1820,1091,4642
2025,07,03,13,10,20,0,3973,184,1879,4,3670,1821,1091,4642
2025,07,03,13,10,30,0,3972,184,1879,4,3671,1821,1091,4642
2025,07,03,13,10,40,0,3973,184,1878,2,3670,1820,1091,4642
2025,07,03,13,10,50,0,3973,185,1877,3,3670,1818,1091,4632
2025,07,03,13,11,00,0,3973,185,1874,4,3670,1815,1092,4642
2025,07,03,13,11,10,0,3973,185,1849,3,3671,1810,1091,4642
2025,07,03,13,11,20,0,3972,184,1813,3,3671,1796,1091,4642
2025,07,03,13,11,30,0,3973,186,1779,3,3670,1796,1091,4642
2025,07,03,13,11,40,0,3972,183,1766,3,3670,1794,1090,4642
2025,07,03,13,11,50,0,3973,185,1756,3,3672,1792,1090,4642
2025,07,03,13,12,00,0,3973,185,1758,4,3671,1794,1090,4642
2025,07,03,13,12,10,0,3972,185,1756,4,3671,1794,1090,4642
2025,07,03,13,12,20,0,3973,185,1755,4,3670,1792,1091,4642
2025,07,03,13,12,30,0,3972,185,1755,4,3671,1792,1091,4642
2025,07,03,13,12,40,0,3973,185,1756,3,3670,1791,1090,4642
2025,07,03,13,12,50,1,3972,186,1754,3,3670,1790,1090,4642
2025,07,03,13,13,00,0,3972,185,1756,4,3671,1788,1092,4642
2025,07,03,13,13,10,0,3973,185,1759,3,3671,1778,1090,4642
2025,07,03,13,13,20,0,3972,186,1758,3,3671,1766,1090,4642
2025,07,03,13,13,30,0,3973,186,1758,3,3670,1748,1090,4642
2025,07,03,13,13,40,0,3972,186,1757,3,3672,1728,1089,4642
2025,07,03,13,13,50,0,3972,186,1757,3,3671,1715,1089,4642
2025,07,03,13,14,00,0,3972,186,1757,3,3671,1707,1088,4642
2025,07,03,13,14,10,0,3972,186,1761,3,3671,1702,1088,4642
2025,07,03,13,14,20,1,3972,186,1760,4,3671,1711,1091,4642
2025,07,03,13,14,30,1,3972,186,1762,3,3671,1720,1089,4642
2025,07,03,13,14,40,1,3973,187,1762,3,3672,1727,1089,4642
2025,07,03,13,14,50,1,3972,186,1763,5,3672,1729,1089,4642
2025,07,03,13,15,00,0,3972,187,1766,4,3671,1727,1089,4642
2025,07,03,13,15,10,0,3974,186,1766,4,3670,1726,1089,4642
2025,07,03,13,15,20,1,3972,187,1774,3,3670,1719,1089,4642
2025,07,03,13,15,30,1,3973,186,1862,3,3671,1705,1088,4642
2025,07,03,13,15,40,1,3972,187,1884,2,3672,1693,1089,4642
2025,07,03,13,15,50,1,3972,187,1925,5,3670,1688,1088,4642
2025,07,03,13,16,00,0,3973,187,1951,5,3671,1683,1088,4642
2025,07,03,13,16,10,0,3972,187,1956,4,3670,1681,1089,4642
2025,07,03,13,16,20,0,3972,186,1962,4,3671,1679,1088,4642
2025,07,03,13,16,30,1,3972,186,1962,3,3670,1682,1088,4642
2025,07,03,13,16,40,0,3972,186,1963,4,3670,1683,1088,4642
2025,07,03,13,16,50,0,3972,186,1966,4,3671,1681,1088,4642
2025,07,03,13,17,00,1,3972,187,1967,4,3671,1681,1089,4642
2025,07,03,13,17,10,0,3972,187,1979,3,3670,1680,1088,4642
2025,07,03,13,17,20,0,3972,187,1980,4,3671,1677,1088,4642
2025,07,03,13,17,30,0,3972,187,1981,3,3671,1646,1087,4642
2025,07,03,13,17,40,56,3972,187,1997,4,3671,1603,1086,4642
2025,07,03,13,17,50,72,3972,187,1997,4,3671,1601,1086,4642
2025,07,03,13,18,00,80,3972,187,2003,4,3671,1605,1086,4642
2025,07,03,13,18,10,87,3972,187,2007,3,3671,1625,1087,4642
2025,07,03,13,18,20,89,3972,187,2006,4,3671,1630,1087,4642
2025,07,03,13,18,30,91,3972,187,2015,3,3671,1630,1087,4642
2025,07,03,13,18,40,92,3972,187,2028,4,3670,1631,1087,4642
2025,07,03,13,18,50,93,3972,186,2027,4,3670,1630,1087,4642
2025,07,03,13,19,00,93,3972,187,2027,4,3671,1631,1087,4642
2025,07,03,13,19,10,71,3972,187,2027,4,3671,1630,1087,4642
2025,07,03,13,19,20,59,3972,187,2026,4,3670,1628,1084,4642
2025,07,03,13,19,30,44,3972,185,2023,3,3672,1626,1086,4642
