Year,Month,Day,Hour,Minute,Second,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,batt_mV
2025,07,15,11,00,00,2297,1,2454,2583,54,89,776,23,5512
2025,07,15,11,00,10,2294,1,2453,2543,54,88,807,23,5512
2025,07,15,11,00,20,2292,0,2449,2520,55,88,803,23,5512
2025,07,15,11,00,30,2289,0,2446,2464,55,89,803,23,5512
2025,07,15,11,00,40,2285,0,2442,2443,55,89,794,21,5512
2025,07,15,11,00,50,2263,1,2440,2367,55,89,790,23,5512
2025,07,15,11,01,00,2219,1,2448,2314,55,89,825,23,5512
2025,07,15,11,01,10,2172,0,2449,2335,55,89,825,23,5512
2025,07,15,11,01,20,2146,1,2448,2271,54,88,823,23,5512
2025,07,15,11,01,30,2133,1,2448,2248,55,89,819,24,5512
2025,07,15,11,01,40,2126,1,2447,2172,55,88,821,22,5512
2025,07,15,11,01,50,2121,0,2447,2146,55,89,826,22,5512
2025,07,15,11,02,00,2115,0,2446,2199,54,88,827,22,5512
2025,07,15,11,02,10,2110,1,2447,2194,55,88,827,23,5512
2025,07,15,11,02,20,2108,1,2446,2167,55,88,818,23,5512
2025,07,15,11,02,30,2105,0,2445,2163,55,88,822,23,5512
2025,07,15,11,02,40,2079,1,2446,2157,55,88,821,23,5512
2025,07,15,11,02,50,2022,0,2445,2183,55,88,821,23,5512
2025,07,15,11,03,00,2014,1,2445,2491,55,88,821,22,5512
2025,07,15,11,03,10,1963,0,2443,2445,54,88,820,21,5512
2025,07,15,11,03,20,1933,1,2444,2418,55,88,819,22,5512
2025,07,15,11,03,30,1915,0,2444,2339,54,88,818,22,5512
2025,07,15,11,03,40,1871,1,2444,2228,55,88,815,22,5512
2025,07,15,11,03,50,1830,1,2444,2162,55,88,811,22,5512
2025,07,15,11,04,00,1829,0,2443,2188,55,89,809,23,5512
2025,07,15,11,04,10,1828,1,2442,2190,53,89,806,22,5512
2025,07,15,11,04,20,1824,0,2442,2187,55,89,787,21,5512
2025,07,15,11,04,30,1821,0,2442,2187,55,88,785,22,5512
2025,07,15,11,04,40,1815,1,2440,2182,55,88,777,23,5512
2025,07,15,11,04,50,1754,1,2436,2183,55,88,777,23,5512
2025,07,15,11,05,00,1749,0,2434,2179,55,88,776,20,5512
2025,07,15,11,05,10,1751,0,2436,2176,55,89,772,23,5512
2025,07,15,11,05,20,1749,1,2436,2173,55,89,756,23,5512
2025,07,15,11,05,30,1746,2,2436,2157,55,88,760,23,5512
2025,07,15,11,05,40,1744,1,2436,2174,55,88,760,23,5512
2025,07,15,11,05,50,1740,0,2435,2170,54,88,759,23,5512
2025,07,15,11,06,00,1737,0,2434,2171,55,88,758,22,5512
