Year,Month,Day,Hour,Minute,Second,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,batt_mV
2025,07,15,12,25,00,0,4028,45,6,0,1540,2426,963,4642
2025,07,15,12,25,10,0,4021,46,1,0,1538,2422,967,4642
2025,07,15,12,25,20,0,4022,47,3,0,1537,2423,971,4642
2025,07,15,12,25,30,0,4027,46,5,0,1538,2424,971,4642
2025,07,15,12,25,40,0,4027,47,4,0,1541,2425,975,4642
2025,07,15,12,25,50,0,4025,46,3,0,1546,2425,974,4642
2025,07,15,12,26,00,0,4025,46,1,0,1548,2424,975,4642
2025,07,15,12,26,10,0,4023,44,6,0,1618,2423,974,4642
2025,07,15,12,26,20,0,4025,45,5,0,1620,2423,973,4642
2025,07,15,12,26,30,0,4023,46,5,0,1619,2419,973,4642
2025,07,15,12,26,40,0,4024,46,4,0,1620,2413,973,4646
2025,07,15,12,26,50,0,4026,45,3,0,1618,2409,974,4642
2025,07,15,12,27,00,0,4026,46,3,0,1619,2406,972,4642
2025,07,15,12,27,10,0,4015,45,4,0,1619,2401,948,4642
2025,07,15,12,27,20,0,4017,46,3,0,1617,2399,902,4646
2025,07,15,12,27,30,0,4019,45,4,0,1618,2396,878,4642
2025,07,15,12,27,40,0,4019,46,3,0,1618,2397,861,4642
2025,07,15,12,27,50,0,4018,46,5,0,1618,2397,834,4646
2025,07,15,12,28,00,0,4008,47,5,0,1618,2395,824,4646
2025,07,15,12,28,10,0,4008,45,6,0,1618,2393,792,4646
2025,07,15,12,28,20,0,4006,45,5,0,1618,2390,815,4646
2025,07,15,12,28,30,0,4009,47,3,0,1619,2389,1228,4642
2025,07,15,12,28,40,1,4008,47,4,0,1618,2389,1232,4642
2025,07,15,12,28,50,0,4011,46,3,0,1619,2389,1223,4642
2025,07,15,12,29,00,0,4010,44,5,0,1618,2388,1218,4642
2025,07,15,12,29,10,0,4010,45,5,0,1618,2384,1216,4642
2025,07,15,12,29,20,0,3994,45,4,0,1617,2387,1213,4642
2025,07,15,12,29,30,0,3995,45,5,0,1618,2386,1164,4646
2025,07,15,12,29,40,0,4033,47,3,0,1620,2385,1066,4642
2025,07,15,12,29,50,0,4040,45,5,0,1619,2387,1067,4646
2025,07,15,12,30,00,0,4030,45,4,0,1618,2383,1069,4642
2025,07,15,12,30,10,0,4012,46,3,0,1618,2385,1070,4642
2025,07,15,12,30,20,0,4012,45,3,0,1617,2384,1067,4646
2025,07,15,12,30,30,0,4011,46,5,0,1618,2381,1068,4646
2025,07,15,12,30,40,0,4011,46,5,0,1618,2384,1066,4642
2025,07,15,12,30,50,0,4004,46,3,0,1618,2383,1066,4646
2025,07,15,12,31,00,0,3983,46,5,0,1618,2383,1067,4642
2025,07,15,12,31,10,0,3983,46,4,0,1618,2380,1065,4642
2025,07,15,12,31,20,0,3987,47,4,0,1619,2379,1065,4642
2025,07,15,12,31,30,0,4001,46,5,0,1618,2379,1052,4646
2025,07,15,12,31,40,0,4002,46,4,0,1619,2379,1031,4646
2025,07,15,12,31,50,0,4002,46,2,0,1618,2378,1020,4642
2025,07,15,12,32,00,0,4001,47,5,0,1619,2380,1012,4642
2025,07,15,12,32,10,0,3999,46,6,0,1619,2376,998,4642
2025,07,15,12,32,20,0,3996,46,3,0,1618,2377,982,4646
2025,07,15,12,32,30,0,4000,47,4,0,1619,2378,976,4642
2025,07,15,12,32,40,0,4000,46,3,0,1618,2377,973,4642
2025,07,15,12,32,50,0,4001,44,3,0,1618,2376,974,4642
2025,07,15,12,33,00,0,4001,47,3,0,1618,2374,974,4642
2025,07,15,12,33,10,0,4001,47,4,0,1619,2375,974,4646
2025,07,15,12,33,20,0,3999,45,5,0,1618,2376,973,4646
2025,07,15,12,33,30,0,3996,45,5,0,1618,2372,973,4642
2025,07,15,12,33,40,0,3991,45,5,0,1618,2371,973,4642
2025,07,15,12,33,50,0,3983,46,4,0,1617,2371,972,4637
2025,07,15,12,34,00,0,3977,46,5,0,1618,2371,972,4642
2025,07,15,12,34,10,0,3976,45,4,0,1619,2370,972,4646
2025,07,15,12,34,20,0,3973,46,4,0,1618,2368,968,4642
2025,07,15,12,34,30,0,3970,45,0,0,1617,2368,906,4646
