Year,Month,Day,Hour,Minute,Second,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,batt_mV
2025,07,24,16,20,00,1383,1,3857,1248,40,108,1,1573,5512
2025,07,24,16,20,10,1762,1,3855,1244,39,107,1,1574,5512
2025,07,24,16,20,20,1757,0,3852,1239,39,107,1,1575,5512
2025,07,24,16,20,30,1748,1,3845,1236,40,107,1,1600,5512
2025,07,24,16,20,40,1715,1,3840,1231,40,106,1,1610,5512
2025,07,24,16,20,50,1532,0,3833,1216,40,106,1,1608,5512
2025,07,24,16,21,00,1526,1,3831,1220,39,105,0,1608,5512
2025,07,24,16,21,10,1519,1,3828,1222,40,105,0,1594,5512
2025,07,24,16,21,20,1510,0,3826,1225,40,106,0,1624,5512
2025,07,24,16,21,30,1484,0,3826,1226,38,106,0,1648,5512
2025,07,24,16,21,40,1463,0,3825,1225,40,106,1,1650,5512
2025,07,24,16,21,50,1461,0,3822,1225,40,105,0,1652,5512
2025,07,24,16,22,00,1458,0,3819,1224,40,106,0,1652,5512
2025,07,24,16,22,10,1457,1,3821,1224,39,105,1,1650,5512
2025,07,24,16,22,20,1452,0,3817,1222,40,106,0,1646,5512
2025,07,24,16,22,30,1369,0,3807,1222,40,105,1,1643,5512
2025,07,24,16,22,40,1363,0,3800,1221,40,106,0,1642,5512
2025,07,24,16,22,50,1365,0,3797,1220,40,106,0,1652,5512
2025,07,24,16,23,00,1366,1,3790,1212,40,107,0,1661,5512
2025,07,24,16,23,10,1366,0,3820,1200,40,106,0,1660,5512
2025,07,24,16,23,20,1366,0,3820,1196,40,106,1,1660,5512
2025,07,24,16,23,30,1365,1,3814,1192,40,106,0,1657,5512
2025,07,24,16,23,40,1364,1,3810,1187,39,106,0,1655,5512
2025,07,24,16,23,50,1362,0,3809,1176,40,106,0,1662,5512
2025,07,24,16,24,00,1360,0,3811,1170,40,106,1,1667,5512
2025,07,24,16,24,10,1359,0,3812,1178,40,106,1,1667,5512
2025,07,24,16,24,20,1358,1,3811,1176,40,105,0,1665,5512
2025,07,24,16,24,30,1355,1,3810,1176,39,107,0,1665,5512
2025,07,24,16,24,40,1260,1,3809,1175,40,107,0,1658,5512
2025,07,24,16,24,50,1268,0,3812,1174,39,106,0,1607,5512
2025,07,24,16,25,00,1300,1,3812,1176,40,106,2,1589,5512
2025,07,24,16,25,10,1314,1,3812,1289,40,106,1,1585,5512
2025,07,24,16,25,20,1314,0,3810,1288,39,107,0,1804,5512
2025,07,24,16,25,30,1312,1,3809,1287,40,106,2,1811,5512
2025,07,24,16,25,40,1313,0,3782,1286,38,106,0,1805,5512
2025,07,24,16,25,50,1312,1,3786,1282,39,106,0,1799,5512
2025,07,24,16,26,00,1313,1,3786,1264,40,106,1,1797,5507
