Year,Month,Day,Hour,Minute,Second,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,batt_mV
2025,07,11,14,00,00,2974,1,3570,1524,63,186,1474,169,5517
2025,07,11,14,00,10,2974,0,3570,1518,61,186,1475,171,5517
2025,07,11,14,00,20,2974,1,3569,1504,63,185,1476,171,5517
2025,07,11,14,00,30,2972,0,3568,1487,63,186,1475,169,5517
2025,07,11,14,00,40,2975,1,3568,1459,63,184,1475,170,5512
2025,07,11,14,00,50,2973,1,3568,1441,63,184,1476,171,5512
2025,07,11,14,01,00,2973,0,3568,1434,63,184,1476,171,5507
2025,07,11,14,01,10,2973,1,3569,1432,62,184,1489,172,5521
2025,07,11,14,01,20,2973,1,3569,1429,63,183,1498,171,5512
2025,07,11,14,01,30,2972,1,3570,1427,63,182,1506,171,5512
2025,07,11,14,01,40,2973,1,3569,1424,63,183,1508,171,5512
2025,07,11,14,01,50,2973,1,3570,1422,62,183,1515,171,5517
2025,07,11,14,02,00,2972,1,3569,1420,62,182,1516,171,5517
2025,07,11,14,02,10,2972,1,3569,1418,63,183,1547,171,5517
2025,07,11,14,02,20,2971,1,3570,1414,63,182,1563,172,5517
2025,07,11,14,02,30,2972,0,3571,1408,63,179,1641,175,5517
2025,07,11,14,02,40,2972,0,3570,1407,62,186,1794,167,5512
2025,07,11,14,02,50,2972,0,3568,1556,62,180,1783,166,5512
2025,07,11,14,03,00,2972,0,3570,1542,63,184,1776,175,5512
2025,07,11,14,03,10,2972,0,3568,1503,63,189,1776,175,5521
2025,07,11,14,03,20,2972,1,3569,1485,63,185,1787,169,5512
2025,07,11,14,03,30,2971,1,3568,1471,63,194,1789,171,5517
2025,07,11,14,03,40,2968,0,3568,1457,63,198,1790,163,5512
2025,07,11,14,03,50,2968,0,3570,1455,61,196,1795,164,5512
2025,07,11,14,04,00,2968,1,3569,1453,63,196,1793,165,5512
2025,07,11,14,04,10,2968,0,3569,1450,62,195,1793,163,5512
2025,07,11,14,04,20,2968,0,3567,1447,61,195,1793,163,5512
2025,07,11,14,04,30,2968,0,3568,1442,63,195,1822,165,5517
2025,07,11,14,04,40,2968,0,3566,1422,62,194,1971,165,5517
2025,07,11,14,04,50,2967,1,3566,1422,61,192,2170,165,5517
2025,07,11,14,05,00,2966,1,3563,1436,62,192,2167,165,5517
2025,07,11,14,05,10,2967,0,3555,1438,63,194,2162,165,5517
2025,07,11,14,05,20,2967,0,3552,1436,63,192,2140,165,5517
2025,07,11,14,05,30,2965,0,3547,1435,63,192,2024,165,5512
2025,07,11,14,05,40,2962,0,3543,1683,61,191,2012,165,5517
2025,07,11,14,05,50,2979,1,3568,1792,62,190,1984,166,5512
2025,07,11,14,06,00,2980,0,3566,1837,62,190,1970,165,5517
2025,07,11,14,06,10,2978,0,3565,1813,62,191,1970,165,5517
2025,07,11,14,06,20,2977,0,3564,1705,62,191,1969,165,5517
2025,07,11,14,06,30,2978,1,3562,1585,62,190,1968,166,5517
2025,07,11,14,06,40,2977,1,3558,1583,62,190,1975,167,5517
2025,07,11,14,06,50,2977,1,3558,1573,62,190,1973,166,5517
2025,07,11,14,07,00,2978,2,3558,1576,62,190,1971,167,5517
2025,07,11,14,07,10,2977,1,3557,1588,63,190,1969,166,5517
2025,07,11,14,07,20,2977,0,3556,1587,63,190,1963,167,5517
2025,07,11,14,07,30,2977,0,3556,1587,63,188,1943,167,5517
2025,07,11,14,07,40,2978,1,3522,1592,62,189,1922,167,5517
2025,07,11,14,07,50,2977,1,3521,1593,63,188,1924,167,5517
2025,07,11,14,08,00,2977,0,3451,1591,63,188,1940,167,5517
2025,07,11,14,08,10,2977,0,3422,1591,63,188,2004,167,5512
2025,07,11,14,08,20,2977,0,3385,1589,62,188,1981,167,5512
2025,07,11,14,08,30,2977,0,3263,1588,62,188,1964,167,5517
2025,07,11,14,08,40,2977,1,3170,1588,62,187,1953,168,5517
2025,07,11,14,08,50,2977,0,3099,1590,63,187,1947,167,5517
2025,07,11,14,09,00,2977,1,2965,1594,63,187,2027,170,5512
2025,07,11,14,09,10,2977,0,2820,1598,62,184,2363,167,5517
2025,07,11,14,09,20,2979,0,2874,1597,62,182,2419,167,5512
2025,07,11,14,09,30,2977,1,2861,1601,63,180,2295,169,5512
2025,07,11,14,09,40,2975,0,2844,1606,62,181,2272,168,5512
2025,07,11,14,09,50,2977,1,2816,1608,63,182,2259,169,5517
2025,07,11,14,10,00,2976,1,2732,1608,62,182,2252,169,5512
2025,07,11,14,10,10,2977,0,2673,1608,63,181,2246,167,5512
2025,07,11,14,10,20,2977,0,2511,1607,62,180,2232,169,5512
2025,07,11,14,10,30,2977,0,2404,1615,62,180,2221,168,5512
2025,07,11,14,10,40,2977,1,2323,1616,62,181,2214,168,5512
2025,07,11,14,10,50,2977,0,2264,1614,63,180,2216,168,5512
2025,07,11,14,11,00,2977,1,2219,1616,63,180,2213,167,5512
2025,07,11,14,11,10,2977,2,2243,1679,61,168,2223,172,5512
2025,07,11,14,11,20,2977,1,2239,1677,63,179,2221,172,5512
2025,07,11,14,11,30,2977,1,2234,1676,62,179,2221,168,5517
