Year,Month,Day,Hour,Minute,Second,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,batt_mV
2025,07,17,13,55,00,2423,4023,43,4,0,1280,1759,7,4651
2025,07,17,13,55,10,2390,4022,42,4,0,1260,1757,7,4651
2025,07,17,13,55,20,2330,4016,45,3,0,1300,1760,7,4651
2025,07,17,13,55,30,2363,3983,44,4,0,1300,1760,7,4651
2025,07,17,13,55,40,2362,3985,42,4,0,1298,1759,7,4651
2025,07,17,13,55,50,2359,3986,43,3,0,1299,1762,7,4651
2025,07,17,13,56,00,2345,3986,42,4,0,1298,1760,6,4651
2025,07,17,13,56,10,2303,3972,43,4,0,1299,1761,7,4651
2025,07,17,13,56,20,2241,3874,43,4,0,1297,1760,7,4651
2025,07,17,13,56,30,2208,3890,44,3,0,1297,1760,6,4651
2025,07,17,13,56,40,2203,3881,43,2,0,1297,1760,6,4651
2025,07,17,13,56,50,2198,3868,42,3,0,1296,1760,7,4651
2025,07,17,13,57,00,2192,3785,42,3,0,1265,1761,8,4651
2025,07,17,13,57,10,2188,3776,43,3,0,1265,1761,7,4651
2025,07,17,13,57,20,2191,3848,43,4,0,1436,1765,7,4651
2025,07,17,13,57,30,2189,3775,43,3,0,1459,1767,8,4651
2025,07,17,13,57,40,2188,3656,44,3,0,1466,1769,8,4651
2025,07,17,13,57,50,2218,3573,43,2,0,1465,1768,8,4651
2025,07,17,13,58,00,2227,3562,42,3,0,1470,1767,7,4651
2025,07,17,13,58,10,2227,3549,43,3,0,1468,1767,6,4651
2025,07,17,13,58,20,2228,3474,43,3,0,1468,1766,7,4651
2025,07,17,13,58,30,2226,3617,43,3,0,1468,1767,8,4651
2025,07,17,13,58,40,2227,3696,42,3,0,1468,1770,6,4651
2025,07,17,13,58,50,2270,3693,41,2,0,1468,1773,9,4651
2025,07,17,13,59,00,2271,3674,43,2,0,1468,1775,8,4651
2025,07,17,13,59,10,2268,3670,41,3,0,1467,1779,9,4651
2025,07,17,13,59,20,2269,3669,44,3,0,1466,1793,7,4651
2025,07,17,13,59,30,2265,3610,42,3,0,1468,1804,9,4651
2025,07,17,13,59,40,2258,3463,44,2,0,1467,1807,9,4651
2025,07,17,13,59,50,2234,3444,42,1,0,1467,1809,9,4651
2025,07,17,14,00,00,2126,3516,42,2,0,1467,1810,7,4651
2025,07,17,14,00,10,2132,3504,42,2,0,1466,1809,8,4651
2025,07,17,14,00,20,2130,3464,43,2,0,1466,1814,6,4651
2025,07,17,14,00,30,2128,3463,42,2,0,1465,1812,7,4651
2025,07,17,14,00,40,2118,3355,43,2,0,1469,1816,7,4651
2025,07,17,14,00,50,2123,3158,42,2,0,1465,1814,9,4651
2025,07,17,14,01,00,2121,3368,43,2,0,1464,1822,9,4651
2025,07,17,14,01,10,2117,3565,42,2,0,1465,1825,8,4651
2025,07,17,14,01,20,2107,3490,42,2,0,1465,1834,8,4651
2025,07,17,14,01,30,2067,3355,44,2,0,1465,1836,8,4651
2025,07,17,14,01,40,2028,3289,43,2,0,1464,1835,9,4651
2025,07,17,14,01,50,2024,3227,42,1,0,1462,1836,9,4651
2025,07,17,14,02,00,2016,3193,42,1,0,1460,1835,7,4651
2025,07,17,14,02,10,1925,3167,44,1,0,1461,1836,7,4651
2025,07,17,14,02,20,1899,3145,42,1,0,1459,1834,8,4651
2025,07,17,14,02,30,1909,3098,42,1,0,1460,1833,9,4642
2025,07,17,14,02,40,1943,3193,45,2,0,1458,1833,9,4651
2025,07,17,14,02,50,2068,3189,43,1,0,1455,1830,9,4651
2025,07,17,14,03,00,2076,3192,43,2,0,1461,1829,7,4651
2025,07,17,14,03,10,2072,3187,42,0,0,1459,1829,8,4651
2025,07,17,14,03,20,2078,3156,42,1,0,1460,1829,8,4651
2025,07,17,14,03,30,2077,3056,43,1,0,1459,1827,8,4651
2025,07,17,14,03,40,2074,2966,43,1,0,1469,1829,8,4651
2025,07,17,14,03,50,2073,2923,43,1,0,1470,1829,9,4651
2025,07,17,14,04,00,2059,2867,43,1,0,1468,1827,10,4651
2025,07,17,14,04,10,2022,2749,43,1,0,1468,1828,9,4651
2025,07,17,14,04,20,2005,2874,42,1,0,1468,1829,7,4651
2025,07,17,14,04,30,1977,2866,44,1,0,1468,1829,7,4651
2025,07,17,14,04,40,1976,2812,42,1,0,1467,1827,8,4651
2025,07,17,14,04,50,1979,2673,41,0,0,1469,1826,8,4651
2025,07,17,14,05,00,1981,2688,42,1,0,1468,1808,9,4646
2025,07,17,14,05,10,1987,2687,43,0,0,1469,1861,8,4651
2025,07,17,14,05,20,1988,2679,44,0,0,1467,1861,9,4651
2025,07,17,14,05,30,1986,2671,42,0,0,1467,1861,8,4651
2025,07,17,14,05,40,1938,2679,44,0,0,1467,1860,8,4651
2025,07,17,14,05,50,1840,3842,43,2,0,1470,1861,9,4651
2025,07,17,14,06,00,1831,3111,43,1,0,1469,1860,9,4651
2025,07,17,14,06,10,1827,2950,42,0,0,1468,1859,8,4651
2025,07,17,14,06,20,1877,3051,42,1,0,1469,1856,9,4656
2025,07,17,14,06,30,1892,3049,43,1,0,1469,1854,9,4651
2025,07,17,14,06,40,1904,3046,43,1,0,1469,1856,9,4651
2025,07,17,14,06,50,1913,3028,43,1,0,1468,1851,8,4651
2025,07,17,14,07,00,1940,3046,43,1,0,1468,1846,8,4651
2025,07,17,14,07,10,1939,3154,41,1,0,1469,1857,9,4651
2025,07,17,14,07,20,1940,3317,43,2,0,1469,1856,9,4651
2025,07,17,14,07,30,1942,3797,43,3,0,1469,1859,9,4651
2025,07,17,14,07,40,1943,3812,43,3,0,1470,1856,10,4651
2025,07,17,14,07,50,1941,3809,42,4,0,1469,1856,8,4651
2025,07,17,14,08,00,1939,3810,43,3,0,1471,1855,9,4651
2025,07,17,14,08,10,1924,3809,43,3,0,1470,1854,9,4651
2025,07,17,14,08,20,1882,3762,42,3,0,1469,1855,9,4651
