Year;Month;Day;Hour;Minute;Second;Ch1;Ch2;Ch3;Ch4;Ch5;Ch6;Ch7;Ch8;batt_mV
2025;7;1;15;9;30;1447;0;1354;1660;42;251;1791;104;5503
2025;7;1;15;9;40;1393;0;1354;1652;43;254;1793;105;5503
2025;7;1;15;9;50;1341;0;1355;1649;43;251;1802;104;5503
2025;7;1;15;10;0;1354;0;1354;1644;43;251;1803;104;5503
2025;7;1;15;10;10;1365;0;1354;1646;43;252;1817;104;5503
2025;7;1;15;10;20;1382;0;1354;1644;42;251;1817;104;5503
2025;7;1;15;10;30;1404;0;1353;1659;42;252;1817;105;5503
2025;7;1;15;10;40;1411;0;1352;1661;42;252;1821;105;5503
2025;7;1;15;10;50;1415;1;1354;1658;42;252;1957;104;5503
2025;7;1;15;11;0;1414;0;1354;1655;43;251;2001;104;5503
2025;7;1;15;11;10;1410;0;1351;1658;43;253;2001;104;5503
2025;7;1;15;11;20;1412;0;1332;1656;43;252;1997;104;5503
2025;7;1;15;11;30;1419;0;1313;1654;42;253;1991;104;5503
2025;7;1;15;11;40;1423;0;1312;1650;42;252;1975;104;5503
2025;7;1;15;11;50;1431;0;1309;1641;42;252;1953;104;5503
2025;7;1;15;12;0;1431;0;1306;1618;42;252;1920;104;5503
2025;7;1;15;12;10;1430;0;1299;1600;43;251;1912;105;5503
2025;7;1;15;12;20;1452;0;1293;1929;42;252;1911;104;5503
2025;7;1;15;12;30;1455;1;1285;1881;42;253;1906;104;5503
2025;7;1;15;12;40;1453;0;1289;1860;43;253;1893;104;5503
2025;7;1;15;12;50;1453;0;1291;1846;43;253;1857;104;5503
2025;7;1;15;13;0;1452;2;1291;1848;43;252;1870;104;5503
2025;7;1;15;13;10;1452;0;1291;1847;43;252;1913;104;5503
2025;7;1;15;13;20;1452;1;1290;1843;42;252;1914;103;5503
2025;7;1;15;13;30;1466;1;1290;1837;43;253;1913;104;5503
2025;7;1;15;13;40;1466;1;1290;1834;42;253;1900;104;5503
2025;7;1;15;13;50;1467;0;1285;1829;42;253;1870;104;5503
2025;7;1;15;14;0;1466;1;1281;1821;42;253;1834;104;5503
2025;7;1;15;14;10;1466;0;1318;1788;43;253;1828;104;5503
2025;7;1;15;14;20;1466;0;1318;1721;42;253;1819;104;5503
2025;7;1;15;14;30;1465;0;1317;1638;42;253;1804;104;5503
2025;7;1;15;14;40;1465;0;1317;1646;42;253;1800;104;5503
2025;7;1;15;14;50;1465;0;1318;1617;42;252;1800;104;5503
2025;7;1;15;15;0;1466;0;1318;1595;42;253;1799;104;5503
2025;7;1;15;15;10;1463;0;1318;1583;43;253;1800;104;5503
2025;7;1;15;15;20;1464;0;1317;1593;42;254;1798;104;5503
2025;7;1;15;15;30;1464;1;1329;1591;42;253;1794;104;5503
2025;7;1;15;15;40;1463;0;1329;1589;43;252;1802;104;5503
2025;7;1;15;15;50;1463;0;1327;1586;43;253;1801;103;5503
2025;7;1;15;16;0;1464;1;1328;1582;43;253;1816;104;5512
2025;7;1;15;16;10;1463;0;1327;1575;43;252;1816;105;5503
2025;7;1;15;16;20;1469;1;1323;1567;42;252;1889;104;5503
2025;7;1;15;16;30;1468;0;1291;1561;42;252;1880;105;5503
2025;7;1;15;16;40;1468;0;1288;1559;43;248;1864;104;5503
2025;7;1;15;16;50;1467;0;1286;1556;42;248;1881;104;5503
2025;7;1;15;17;0;1467;0;1281;1554;43;249;1879;105;5503
2025;7;1;15;17;10;1473;0;1267;1550;43;249;1847;103;5503
2025;7;1;15;17;20;1508;0;1249;1546;43;248;1848;103;5503
2025;7;1;15;17;30;1510;0;1234;1545;42;249;1845;104;5503
2025;7;1;15;17;40;1508;1;1218;1543;42;248;1809;103;5503
2025;7;1;15;17;50;1508;0;1205;1543;42;249;1802;104;5503
2025;7;1;15;18;0;1508;0;1194;1542;43;248;1799;104;5503
2025;7;1;15;18;10;1506;0;1187;1555;43;249;1797;103;5503
2025;7;1;15;18;20;1506;0;1183;1555;43;247;1792;104;5503
2025;7;1;15;18;30;1525;1;1179;1553;43;249;1689;103;5503
2025;7;1;15;18;40;1534;0;1175;1557;43;249;1880;104;5503
2025;7;1;15;18;50;1540;0;1168;1557;43;249;1874;104;5503
2025;7;1;15;19;0;1540;0;1161;1557;42;249;1788;103;5503
2025;7;1;15;19;10;1538;0;1145;1569;42;249;1800;104;5493
2025;7;1;15;19;20;1539;0;1127;1568;42;260;1795;104;5503
2025;7;1;15;19;30;1538;1;1114;1612;42;259;1733;104;5503
2025;7;1;15;19;40;1538;0;1116;1779;42;259;1712;103;5503
2025;7;1;15;19;50;1537;0;1114;1794;42;256;1728;104;5503
2025;7;1;15;20;0;1535;0;1103;1792;42;257;1727;104;5503
2025;7;1;15;20;10;1533;0;1090;1795;43;257;1716;104;5503
2025;7;1;15;20;20;1529;1;1088;1795;42;258;1663;103;5503
2025;7;1;15;20;30;1523;0;1085;1793;42;253;1647;104;5503
2025;7;1;15;20;40;1510;0;1076;1792;43;250;1646;105;5503
2025;7;1;15;20;50;1514;0;1074;1791;43;247;1646;104;5503
2025;7;1;15;21;0;1514;0;1073;1791;43;248;1642;104;5503
2025;7;1;15;21;10;1515;1;1073;1790;42;247;1604;105;5503
2025;7;1;15;21;20;1516;0;1071;1787;43;247;1571;104;5503
2025;7;1;15;21;30;1516;0;1056;1787;42;248;1550;104;5503
2025;7;1;15;21;40;1515;0;1044;1784;42;247;1549;104;5503
2025;7;1;15;21;50;1515;0;1045;1741;43;249;1543;104;5503
2025;7;1;15;22;0;1515;0;1045;1664;42;249;1555;104;5503
2025;7;1;15;22;10;1514;0;1043;1605;43;249;1553;104;5503
2025;7;1;15;22;20;1514;0;1049;1557;42;249;1541;104;5503
2025;7;1;15;22;30;1513;0;1048;1541;43;249;1533;105;5503
2025;7;1;15;22;40;1469;0;1054;1524;42;249;1521;104;5503
2025;7;1;15;22;50;1383;0;1060;1516;43;249;1879;104;5503
2025;7;1;15;23;0;1344;0;1063;1516;42;249;1964;104;5503
2025;7;1;15;23;10;1368;0;1073;1551;42;249;1983;104;5503
2025;7;1;15;23;20;1368;0;1111;1572;42;249;1983;104;5503
2025;7;1;15;23;30;1399;0;1148;1597;42;250;1983;104;5503
2025;7;1;15;23;40;1400;0;1204;1595;42;250;1979;104;5507
2025;7;1;15;23;50;1398;0;1201;1595;42;250;1975;104;5503
2025;7;1;15;24;0;1399;1;1198;1593;42;251;1972;104;5503
2025;7;1;15;24;10;1399;1;1195;1597;43;250;1966;105;5503
2025;7;1;15;24;20;1398;0;1194;1616;42;250;1932;104;5503
2025;7;1;15;24;30;1400;0;1193;1615;43;250;1940;104;5503
2025;7;1;15;24;40;1398;0;1191;1614;43;250;1938;103;5503
2025;7;1;15;24;50;1397;0;1191;1616;42;251;1931;104;5503
2025;7;1;15;25;0;1398;0;1188;1616;42;251;1918;104;5503
