Year,Month,Day,Hour,Minute,Second,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,batt_mV
2025,07,11,11,15,00,1477,1,3722,2602,59,1185,2979,484,5512
2025,07,11,11,15,10,1473,1,3722,2456,59,1186,2978,484,5512
2025,07,11,11,15,20,1472,1,3722,2928,58,1185,2976,483,5503
2025,07,11,11,15,30,1472,1,3721,2892,57,1185,2957,484,5512
2025,07,11,11,15,40,1471,2,3722,2645,59,1187,2960,484,5512
2025,07,11,11,15,50,1472,1,3722,2563,58,1186,2963,483,5512
2025,07,11,11,16,00,1472,1,3722,2673,59,1186,2962,484,5512
2025,07,11,11,16,10,1472,1,3721,2563,58,1185,2964,483,5512
2025,07,11,11,16,20,1471,1,3721,2483,59,1186,2963,484,5507
2025,07,11,11,16,30,1471,0,3721,2357,59,1185,2946,484,5512
2025,07,11,11,16,40,1471,0,3721,2234,58,1185,2912,484,5507
2025,07,11,11,16,50,1469,0,3721,2156,57,1185,2932,484,5507
2025,07,11,11,17,00,1470,1,3719,2056,58,1185,2932,483,5512
2025,07,11,11,17,10,1469,1,3720,2006,59,1185,2927,484,5512
2025,07,11,11,17,20,1460,1,3717,2039,59,1185,2852,484,5512
2025,07,11,11,17,30,1422,1,3715,2033,59,1185,2857,483,5512
2025,07,11,11,17,40,1416,0,3709,1983,59,1185,2836,484,5512
2025,07,11,11,17,50,1412,1,3704,1940,59,1185,2609,482,5512
2025,07,11,11,18,00,1391,1,3702,1973,59,1185,2508,484,5512
2025,07,11,11,18,10,1385,0,3700,1952,59,1186,2318,484,5512
2025,07,11,11,18,20,1316,1,3697,1888,59,1186,2212,483,5512
2025,07,11,11,18,30,1290,1,3696,1827,58,1185,2184,484,5512
2025,07,11,11,18,40,1284,1,3695,1774,59,1183,2172,484,5512
2025,07,11,11,18,50,1272,0,3694,1728,59,1185,2103,485,5512
2025,07,11,11,19,00,1276,0,3693,1698,60,1191,2099,483,5512
2025,07,11,11,19,10,1275,0,3693,1680,59,1192,2141,484,5512
2025,07,11,11,19,20,1274,2,3691,1666,59,1185,2142,482,5512
2025,07,11,11,19,30,1270,0,3686,1650,59,1185,2145,482,5512
2025,07,11,11,19,40,1266,1,3686,1629,59,1189,2138,486,5512
2025,07,11,11,19,50,1261,1,3686,1599,58,1194,2094,484,5512
2025,07,11,11,20,00,1261,1,3685,1578,59,1192,2124,484,5512
2025,07,11,11,20,10,1255,1,3684,1563,59,1193,2140,484,5512
2025,07,11,11,20,20,1247,0,3683,1551,60,1194,2138,484,5512
2025,07,11,11,20,30,1219,1,3683,1534,58,1193,2137,486,5512
2025,07,11,11,20,40,1215,0,3683,1519,59,1194,2115,484,5512
2025,07,11,11,20,50,1212,1,3682,1514,59,1195,2070,484,5512
2025,07,11,11,21,00,1201,0,3672,1511,58,1195,2017,484,5512
2025,07,11,11,21,10,1176,0,3675,1520,57,1195,2098,484,5512
2025,07,11,11,21,20,1168,1,3675,1519,58,1194,2130,484,5512
2025,07,11,11,21,30,1160,0,3671,1518,58,1196,2128,485,5512
2025,07,11,11,21,40,1154,0,3654,1517,59,1195,2124,484,5517
2025,07,11,11,21,50,1149,0,3646,1522,59,1197,2105,484,5512
2025,07,11,11,22,00,1145,0,3606,1527,59,1196,2035,484,5512
2025,07,11,11,22,10,1142,1,3605,1524,59,1195,1936,485,5512
2025,07,11,11,22,20,1138,1,3604,1522,59,1195,1869,484,5512
2025,07,11,11,22,30,1136,0,3603,1521,59,1195,1849,484,5512
