Year,Month,Day,Hour,Minute,Second,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,batt_mV
2025,07,01,16,35,00,2706,3869,393,3345,5,3640,3126,3662,4627
2025,07,01,16,35,10,2704,3870,393,3344,4,3638,3121,3660,4627
2025,07,01,16,35,20,2700,3869,393,3349,4,3639,3124,3662,4627
2025,07,01,16,35,30,2693,3870,392,3356,5,3639,3120,3661,4627
2025,07,01,16,35,40,2687,3869,393,3354,4,3639,3118,3660,4627
2025,07,01,16,35,50,2676,3865,393,3354,5,3640,3112,3661,4627
2025,07,01,16,36,00,2661,3862,391,3354,5,3641,3112,3661,4627
2025,07,01,16,36,10,2656,3858,393,3351,4,3640,3102,3659,4627
2025,07,01,16,36,20,2651,3856,393,3352,4,3640,3028,3661,4627
2025,07,01,16,36,30,2634,3853,392,3352,4,3640,2824,3660,4627
2025,07,01,16,36,40,2604,3846,392,3348,4,3639,2569,3660,4632
2025,07,01,16,36,50,2587,3846,392,3350,3,3641,2576,3660,4627
2025,07,01,16,37,00,2592,3846,393,3347,5,3640,2417,3660,4627
2025,07,01,16,37,10,2592,3853,393,3347,5,3641,2675,3660,4627
2025,07,01,16,37,20,2591,3856,392,3345,4,3640,2665,3661,4627
2025,07,01,16,37,30,2588,3855,392,3340,4,3640,2358,3661,4632
2025,07,01,16,37,40,2586,3856,392,3326,4,3641,2387,3661,4627
2025,07,01,16,37,50,2580,3856,392,3321,4,3639,2386,3661,4627
2025,07,01,16,38,00,2550,3855,391,3316,4,3639,2381,3660,4632
2025,07,01,16,38,10,2537,3850,391,3315,5,3640,2372,3659,4632
2025,07,01,16,38,20,2524,3840,392,3307,4,3640,2285,3660,4627
2025,07,01,16,38,30,2525,3844,392,3307,4,3639,2215,3660,4632
2025,07,01,16,38,40,2526,3847,390,3307,4,3639,2209,3660,4632
2025,07,01,16,38,50,2642,3847,390,3309,4,3638,2188,3660,4627
2025,07,01,16,39,00,2565,3849,390,3306,3,3641,2173,3659,4627
2025,07,01,16,39,10,2524,3848,388,3304,4,3641,2167,3661,4627
2025,07,01,16,39,20,2460,3850,388,3302,4,3640,2154,3659,4627
2025,07,01,16,39,30,2414,3849,387,3304,5,3639,2049,3660,4632
2025,07,01,16,39,40,2387,3849,386,3302,4,3640,2019,3661,4627
2025,07,01,16,39,50,2365,3848,384,3306,3,3638,2072,3658,4627
2025,07,01,16,40,00,2335,3847,383,3302,5,3639,2072,3661,4632
