"","i","id","time","hz","n","sd","ci"
"1",1,"mussel_271",2025-07-01 08:50:00,0.229,5,0.107383425164222,0.210471513321874
"2",1,"mussel_272",2025-07-01 08:50:00,0.205,5,0.107994444301547,0.211669110831033
"3",1,"mussel_273",2025-07-01 08:50:00,0.279,5,0.118997899141119,0.233235882316594
"4",1,"mussel_274",2025-07-01 08:50:00,0.507,5,0.149179422173435,0.292391667459933
"5",1,"mussel_275",2025-07-01 08:50:00,0.581,5,0.0166643331699771,0.0326620930131551
"6",1,"mussel_276",2025-07-01 08:50:00,0.195,5,0.0932373315791481,0.18274516989513
"7",1,"mussel_277",2025-07-01 08:50:00,0.507,5,0.0100099950049938,0.0196195902097878
"8",1,"mussel_278",2025-07-01 08:50:00,0.283,5,0.109380985550506,0.214386731678992
"9",1,"mussel_279",2025-07-01 08:50:00,0.49,5,0.486199856026305,0.952951717811558
"10",1,"mussel_280",2025-07-01 08:50:00,0.919,5,0.467575983130015,0.916448926934829
"11",2,"mussel_271",2025-07-01 08:55:00,0.509,5,0.193900232078252,0.380044454873374
"12",2,"mussel_272",2025-07-01 08:55:00,0.52,5,0.0361842507176811,0.0709211314066549
"13",2,"mussel_273",2025-07-01 08:55:00,0.298,5,0.0921666968052995,0.180646725738387
"14",2,"mussel_274",2025-07-01 08:55:00,0.455,5,0.0375006666607408,0.073501306655052
"15",2,"mussel_275",2025-07-01 08:55:00,0.551,5,0.00589067059000926,0.0115457143564182
"16",2,"mussel_276",2025-07-01 08:55:00,0.35,5,0.425469387852992,0.833920000191865
"17",2,"mussel_277",2025-07-01 08:55:00,0.442,5,0.0293479130433494,0.0575219095649649
"18",2,"mussel_278",2025-07-01 08:55:00,0.376,5,0.134846950280679,0.264300022550131
"19",2,"mussel_279",2025-07-01 08:55:00,0.899,5,0.277947836832741,0.544777760192172
"20",2,"mussel_280",2025-07-01 08:55:00,0.607,5,0.0852056336165632,0.167003041888464
"21",3,"mussel_271",2025-07-01 09:00:00,0.49,5,0.0555994604290365,0.108974942440912
"22",3,"mussel_272",2025-07-01 09:00:00,0.525,5,0.0166583312489577,0.0326503292479571
"23",3,"mussel_273",2025-07-01 09:00:00,0.392,5,0.0732345546856127,0.143539727183801
"24",3,"mussel_274",2025-07-01 09:00:00,0.433,5,0.0312537997689881,0.0612574475472167
"25",3,"mussel_275",2025-07-01 09:00:00,0.529,5,0.0154045447839266,0.0301929077764962
"26",3,"mussel_276",2025-07-01 09:00:00,0.335,5,0.0761459125626583,0.14924598862281
"27",3,"mussel_277",2025-07-01 09:00:00,0.435,5,0.0373054955737087,0.0731187713244691
"28",3,"mussel_278",2025-07-01 09:00:00,0.733,5,0.0511253361847137,0.100205658922039
"29",3,"mussel_279",2025-07-01 09:00:00,1.268,5,0.633831760012071,1.24231024962366
"30",3,"mussel_280",2025-07-01 09:00:00,0.716,5,0.396500063051697,0.777140123581327
"31",4,"mussel_271",2025-07-01 09:05:00,0.432,5,0.132399773413703,0.259503555890859
"32",4,"mussel_272",2025-07-01 09:05:00,0.487,5,0.0251037845752389,0.0492034177674681
"33",4,"mussel_273",2025-07-01 09:05:00,0.574,5,0.0224499443206436,0.0440018908684615
"34",4,"mussel_274",2025-07-01 09:05:00,0.425,5,0.0359444015112229,0.0704510269619968
"35",4,"mussel_275",2025-07-01 09:05:00,0.527,5,0.0193855616374662,0.0379957008094337
"36",4,"mussel_276",2025-07-01 09:05:00,0.155,5,0.0701591048973688,0.137511845598843
"37",4,"mussel_277",2025-07-01 09:05:00,0.396,5,0.0986787717799528,0.193410392688707
"38",4,"mussel_278",2025-07-01 09:05:00,0.692,5,0.258213671210492,0.506098795572564
"39",4,"mussel_279",2025-07-01 09:05:00,0.516,5,0.162031787004896,0.317582302529596
"40",4,"mussel_280",2025-07-01 09:05:00,1.04,5,0.390713705928011,0.765798863618901
"41",5,"mussel_271",2025-07-01 09:10:00,0.372,5,0.102465603984947,0.200832583810496
"42",5,"mussel_272",2025-07-01 09:10:00,0.422,5,0.0871779788708135,0.170868838586794
"43",5,"mussel_273",2025-07-01 09:10:00,0.515,5,0.017155174146595,0.0336241413273261
"44",5,"mussel_274",2025-07-01 09:10:00,0.415,5,0.0366169359723066,0.0717691945057209
"45",5,"mussel_275",2025-07-01 09:10:00,0.539,5,0.130743259864515,0.256256789334449
"46",5,"mussel_276",2025-07-01 09:10:00,0.303,5,0.218356818075369,0.427979363427724
"47",5,"mussel_277",2025-07-01 09:10:00,0.391,5,0.052820450584977,0.103528083146555
"48",5,"mussel_278",2025-07-01 09:10:00,0.622,5,0.236429693566608,0.463402199390551
"49",5,"mussel_279",2025-07-01 09:10:00,0.609,5,0.378076315047637,0.741029577493368
"50",5,"mussel_280",2025-07-01 09:10:00,1.075,5,0.267096798932522,0.523509725907743
"51",6,"mussel_271",2025-07-01 09:15:00,0.364,4,0.0237557010701291,0.046561174097453
"52",6,"mussel_272",2025-07-01 09:15:00,0.4595,4,0.0161529151135845,0.0316597136226256
"53",6,"mussel_273",2025-07-01 09:15:00,0.364,4,0.14206571249484,0.278448796489887
"54",6,"mussel_274",2025-07-01 09:15:00,0.4705,4,0.101896597915076,0.199717331913549
"55",6,"mussel_275",2025-07-01 09:15:00,0.5325,4,0.0178232058470598,0.0349334834602372
"56",6,"mussel_276",2025-07-01 09:15:00,0.1745,4,0.0259149249146767,0.0507932528327664
"57",6,"mussel_277",2025-07-01 09:15:00,0.3315,4,0.0786405323820569,0.154135443468831
"58",6,"mussel_278",2025-07-01 09:15:00,0.3485,4,0.135344929716632,0.265276062244598
"59",6,"mussel_279",2025-07-01 09:15:00,0.848,4,0.297833706397826,0.58375406453974
"60",6,"mussel_280",2025-07-01 09:15:00,0.6835,4,0.322399855252242,0.631903716294395
