"","i","id","time","hz","n","sd","ci"
"1",1,"mussel_71",2025-06-24 12:50:00,0.431,5,0.0362215405525497,0.0709942194829973
"2",1,"mussel_72",2025-06-24 12:50:00,0.456,5,0.114636381659576,0.224687308052769
"3",1,"mussel_73",2025-06-24 12:50:00,0.261,5,0.136549624679089,0.267637264371014
"4",1,"mussel_74",2025-06-24 12:50:00,0.868,5,0.36926589336141,0.723761150988363
"5",1,"mussel_75",2025-06-24 12:50:00,0.515,5,0.024304320603547,0.0476364683829522
"6",1,"mussel_76",2025-06-24 12:50:00,0.573,5,0.104922828783826,0.205648744416298
"7",1,"mussel_77",2025-06-24 12:50:00,0.49,5,0.0615467302137165,0.120631591218884
"8",1,"mussel_78",2025-06-24 12:50:00,0.477,5,0.0245051015096857,0.048029998958984
"9",1,"mussel_79",2025-06-24 12:50:00,0.477,5,0.26827560455621,0.525820184930172
"10",1,"mussel_80",2025-06-24 12:50:00,0.675,5,0.39502189812718,0.774242920329272
"11",2,"mussel_71",2025-06-24 12:55:00,0.384,5,0.0105261578935526,0.0206312694713631
"12",2,"mussel_72",2025-06-24 12:55:00,0.379,5,0.0231235810375469,0.045322218833592
"13",2,"mussel_73",2025-06-24 12:55:00,0.297,5,0.258991312595616,0.507622972687407
"14",2,"mussel_74",2025-06-24 12:55:00,0.264,5,0.270654761642946,0.530483332820174
"15",2,"mussel_75",2025-06-24 12:55:00,0.484,5,0.0385836753044601,0.0756240035967417
"16",2,"mussel_76",2025-06-24 12:55:00,0.563,5,0.0555427763079952,0.108863841563671
"17",2,"mussel_77",2025-06-24 12:55:00,0.435,5,0.040475918766595,0.0793328007825263
"18",2,"mussel_78",2025-06-24 12:55:00,0.429,5,0.0193520024803636,0.0379299248615127
"19",2,"mussel_79",2025-06-24 12:55:00,0.498,5,0.165102089629417,0.323600095673657
"20",2,"mussel_80",2025-06-24 12:55:00,0.777,5,0.483366527595778,0.947398394087725
"21",3,"mussel_71",2025-06-24 13:00:00,0.368,5,0.0898292825308095,0.176065393760387
"22",3,"mussel_72",2025-06-24 13:00:00,0.341,5,0.0363386846212133,0.071223821857578
"23",3,"mussel_73",2025-06-24 13:00:00,0.546,5,0.304507799571702,0.596835287160536
"24",3,"mussel_74",2025-06-24 13:00:00,0.617,5,0.467329434125436,0.915965690885854
"25",3,"mussel_75",2025-06-24 13:00:00,0.465,5,0.0425758147309009,0.0834485968725658
"26",3,"mussel_76",2025-06-24 13:00:00,0.559,5,0.00554075807087798,0.0108598858189208
"27",3,"mussel_77",2025-06-24 13:00:00,0.395,5,0.0360097209097766,0.0705790529831621
"28",3,"mussel_78",2025-06-24 13:00:00,0.401,5,0.0950263121456368,0.186251571805448
"29",3,"mussel_79",2025-06-24 13:00:00,0.479,5,0.0743888432495088,0.145802132769037
"30",3,"mussel_80",2025-06-24 13:00:00,0.866,5,0.427055382825226,0.837028550337442
"31",4,"mussel_71",2025-06-24 13:05:00,0.386,5,0.124472888614348,0.243966861684123
"32",4,"mussel_72",2025-06-24 13:05:00,0.372,5,0.0734540672801718,0.143969971869137
"33",4,"mussel_73",2025-06-24 13:05:00,0.193,5,0.670775521318421,1.31472002178411
"34",4,"mussel_74",2025-06-24 13:05:00,0.521,5,0.857028179233332,1.67977523129733
"35",4,"mussel_75",2025-06-24 13:05:00,0.451,5,0.092321720087962,0.180950571372405
"36",4,"mussel_76",2025-06-24 13:05:00,0.526,5,0.0389717846653191,0.0763846979440254
"37",4,"mussel_77",2025-06-24 13:05:00,0.337,5,0.0145705181788432,0.0285582156305326
"38",4,"mussel_78",2025-06-24 13:05:00,0.369,5,0.121810098103564,0.238747792282986
"39",4,"mussel_79",2025-06-24 13:05:00,0.538,5,0.372585292248634,0.730267172807323
"40",4,"mussel_80",2025-06-24 13:05:00,0.715,5,0.329528754435785,0.645876358694139
"41",5,"mussel_71",2025-06-24 13:10:00,0.328,5,0.134810237000014,0.264228064520028
"42",5,"mussel_72",2025-06-24 13:10:00,0.37,5,0.0243618554301597,0.0477492366431129
"43",5,"mussel_73",2025-06-24 13:10:00,0.291,5,0.457011816039804,0.895743159438017
"44",5,"mussel_74",2025-06-24 13:10:00,0.495,5,0.328671112207933,0.644195379927549
"45",5,"mussel_75",2025-06-24 13:10:00,0.341,5,0.0575525846509086,0.112803065915781
"46",5,"mussel_76",2025-06-24 13:10:00,0.534,5,0.17628442926135,0.345517481352247
"47",5,"mussel_77",2025-06-24 13:10:00,0.312,5,0.0655148838051324,0.12840917225806
"48",5,"mussel_78",2025-06-24 13:10:00,0.361,5,0.090247991667405,0.176886063668114
"49",5,"mussel_79",2025-06-24 13:10:00,0.504,5,0.132951870990972,0.260585667142305
"50",5,"mussel_80",2025-06-24 13:10:00,0.503,5,0.146762733689449,0.287654958031319
"51",6,"mussel_71",2025-06-24 13:15:00,0.373,5,0.215843693445048,0.423053639152295
"52",6,"mussel_72",2025-06-24 13:15:00,0.349,5,0.0866677564034053,0.169868802550674
"53",6,"mussel_73",2025-06-24 13:15:00,0.244,5,0.118862525633607,0.232970550241871
"54",6,"mussel_74",2025-06-24 13:15:00,0.483,5,0.47816126986614,0.937196088937635
"55",6,"mussel_75",2025-06-24 13:15:00,0.472,5,0.16364504269913,0.320744283690294
"56",6,"mussel_76",2025-06-24 13:15:00,0.505,5,0.0236959912221456,0.0464441427954053
"57",6,"mussel_77",2025-06-24 13:15:00,0.312,5,0.175863583495845,0.344692623651856
"58",6,"mussel_78",2025-06-24 13:15:00,0.375,5,0.027509998182479,0.0539195964376589
"59",6,"mussel_79",2025-06-24 13:15:00,0.407,5,0.196328296483212,0.384803461107095
"60",6,"mussel_80",2025-06-24 13:15:00,0.534,5,0.0984895933588925,0.193039602983429
