"","i","id","time","hz","n","sd","ci"
"1",1,"mussel_231",2025-06-27 13:05:00,0.425,5,0.0890241540257474,0.174487341890465
"2",1,"mussel_232",2025-06-27 13:05:00,0.193,5,0.136618812760176,0.267772873009945
"3",1,"mussel_233",2025-06-27 13:05:00,0.519,5,0.0901953435605187,0.176782873378617
"4",1,"mussel_234",2025-06-27 13:05:00,0.224,5,0.013630847369111,0.0267164608434575
"5",1,"mussel_235",2025-06-27 13:05:00,0.505,5,0.137507454343392,0.269514610513048
"6",1,"mussel_236",2025-06-27 13:05:00,0.459,5,0.107246445162532,0.210203032518563
"7",1,"mussel_237",2025-06-27 13:05:00,0.195,5,0.149066428145307,0.292170199164802
"8",1,"mussel_238",2025-06-27 13:05:00,0.543,5,0.0338718171936494,0.0663887616995528
"9",1,"mussel_239",2025-06-27 13:05:00,0.717,5,0.677739773069281,1.32836995521579
"10",1,"mussel_240",2025-06-27 13:05:00,0.841,5,0.362335479907778,0.710177540619245
"11",2,"mussel_231",2025-06-27 13:10:00,0.385,5,0.033007574888198,0.0646948467808681
"12",2,"mussel_232",2025-06-27 13:10:00,0.281,5,0.0646513727619143,0.126716690613352
"13",2,"mussel_233",2025-06-27 13:10:00,0.512,5,0.0301612333965307,0.0591160174572002
"14",2,"mussel_234",2025-06-27 13:10:00,0.248,5,0.0718700215667144,0.14086524227076
"15",2,"mussel_235",2025-06-27 13:10:00,0.514,5,0.0139463256809814,0.0273347983347235
"16",2,"mussel_236",2025-06-27 13:10:00,0.476,5,0.115224563353479,0.22584014417282
"17",2,"mussel_237",2025-06-27 13:10:00,0.509,5,0.0223271135617661,0.0437611425810616
"18",2,"mussel_238",2025-06-27 13:10:00,0.502,5,0.0343322006285644,0.0672911132319863
"19",2,"mussel_239",2025-06-27 13:10:00,0.482,5,0.209147555567834,0.409929208912954
"20",2,"mussel_240",2025-06-27 13:10:00,0.932,5,0.273521845562653,0.536102817302801
"21",3,"mussel_231",2025-06-27 13:15:00,0.314,5,0.097635546805454,0.19136567173869
"22",3,"mussel_232",2025-06-27 13:15:00,0.244,5,0.0825663369661026,0.161830020453561
"23",3,"mussel_233",2025-06-27 13:15:00,0.485,5,0.0787578567509299,0.154365399231823
"24",3,"mussel_234",2025-06-27 13:15:00,0.495,5,0.176165547142453,0.345284472399209
"25",3,"mussel_235",2025-06-27 13:15:00,0.458,5,0.0240561842360753,0.0471501211027077
"26",3,"mussel_236",2025-06-27 13:15:00,0.484,5,0.114722273338703,0.224855655743857
"27",3,"mussel_237",2025-06-27 13:15:00,0.478,5,0.0104642247682282,0.0205098805457272
"28",3,"mussel_238",2025-06-27 13:15:00,0.46,5,0.115192013612056,0.225776346679629
"29",3,"mussel_239",2025-06-27 13:15:00,0.513,5,0.122122888927506,0.239360862297912
"30",3,"mussel_240",2025-06-27 13:15:00,0.644,5,0.288552075022863,0.565562067044812
"31",4,"mussel_231",2025-06-27 13:20:00,0.322,5,0.152596526828103,0.299089192583082
"32",4,"mussel_232",2025-06-27 13:20:00,0.307,5,0.152995097960686,0.299870392002945
"33",4,"mussel_233",2025-06-27 13:20:00,0.446,5,0.142749781085647,0.279789570927867
"34",4,"mussel_234",2025-06-27 13:20:00,0.494,5,0.110284631748943,0.216157878227929
"35",4,"mussel_235",2025-06-27 13:20:00,0.441,5,0.0735778499278146,0.144212585858517
"36",4,"mussel_236",2025-06-27 13:20:00,0.487,5,0.0252922913157349,0.0495728909788404
"37",4,"mussel_237",2025-06-27 13:20:00,0.463,5,0.0145499140890934,0.0285178316146231
"38",4,"mussel_238",2025-06-27 13:20:00,0.419,5,0.0238851418249924,0.046814877976985
"39",4,"mussel_239",2025-06-27 13:20:00,0.531,5,0.452131065068526,0.886176887534312
"40",4,"mussel_240",2025-06-27 13:20:00,0.65,5,0.375598189559002,0.736172451535644
"41",5,"mussel_231",2025-06-27 13:25:00,0.482,5,0.137812553854865,0.270112605555535
"42",5,"mussel_232",2025-06-27 13:25:00,0.359,5,0.57605364333541,1.1290651409374
