"","i","id","time","hz","n","sd","ci"
"1",1,"mussel_241",2025-06-27 13:30:00,0.3715,4,0.157307554385245,0.308322806595079
"2",1,"mussel_242",2025-06-27 13:30:00,0.48,4,0.147196014438797,0.288504188300043
"3",1,"mussel_243",2025-06-27 13:30:00,0.3025,4,0.0274636122897189,0.0538286800878491
"4",1,"mussel_244",2025-06-27 13:30:00,0.2795,4,0.0880279311733876,0.17253474509984
"5",1,"mussel_245",2025-06-27 13:30:00,0.3845,4,0.120119385057811,0.23543399471331
"6",1,"mussel_246",2025-06-27 13:30:00,0.29,4,0.466071882867868,0.913500890421022
"7",1,"mussel_247",2025-06-27 13:30:00,0.496,4,0.0399614397471696,0.0783244219044524
"8",1,"mussel_248",2025-06-27 13:30:00,0.407,4,0.21538183148384,0.422148389708327
"9",1,"mussel_249",2025-06-27 13:30:00,0.47,4,0.401997512430114,0.787915124363024
"10",1,"mussel_250",2025-06-27 13:30:00,0.561,4,0.461589554330107,0.904715526487009
"11",2,"mussel_241",2025-06-27 13:35:00,0.463,5,0.122266103233889,0.239641562338422
"12",2,"mussel_242",2025-06-27 13:35:00,0.476,5,0.0399912490427594,0.0783828481238083
"13",2,"mussel_243",2025-06-27 13:35:00,0.202,5,0.0728697468089467,0.142824703745536
"14",2,"mussel_244",2025-06-27 13:35:00,0.385,5,0.172247786633094,0.337605661800865
"15",2,"mussel_245",2025-06-27 13:35:00,0.467,5,0.108454137772609,0.212570110034313
"16",2,"mussel_246",2025-06-27 13:35:00,0.561,5,0.0620870356837883,0.121690589940225
"17",2,"mussel_247",2025-06-27 13:35:00,0.531,5,0.0312761890261585,0.0613013304912707
"18",2,"mussel_248",2025-06-27 13:35:00,0.562,5,0.159686568001194,0.312985673282341
"19",2,"mussel_249",2025-06-27 13:35:00,0.466,5,0.109303705335181,0.214235262456954
"20",2,"mussel_250",2025-06-27 13:35:00,0.46,5,0.535739022286038,1.05004848368063
"21",3,"mussel_241",2025-06-27 13:40:00,0.478,5,0.166360151478652,0.326065896898158
"22",3,"mussel_242",2025-06-27 13:40:00,0.44,5,0.0179025137899682,0.0350889270283376
"23",3,"mussel_243",2025-06-27 13:40:00,0.158,5,0.124387700356587,0.24379989269891
"24",3,"mussel_244",2025-06-27 13:40:00,0.494,5,0.144930328089051,0.28406344305454
"25",3,"mussel_245",2025-06-27 13:40:00,0.447,5,0.107036442392299,0.209791427088907
"26",3,"mussel_246",2025-06-27 13:40:00,0.553,5,0.0559758876660299,0.109712739825419
"27",3,"mussel_247",2025-06-27 13:40:00,0.473,5,0.149825565241717,0.293658107873765
"28",3,"mussel_248",2025-06-27 13:40:00,0.502,5,0.0423992924469265,0.0831026131959759
"29",3,"mussel_249",2025-06-27 13:40:00,0.662,5,0.309842379283403,0.607291063395469
"30",3,"mussel_250",2025-06-27 13:40:00,1.011,5,0.264787650769442,0.518983795508106
"31",4,"mussel_241",2025-06-27 13:45:00,0.615,5,0.2225174150488,0.436134133495648
"32",4,"mussel_242",2025-06-27 13:45:00,0.418,5,0.0440964851206987,0.0864291108365694
"33",4,"mussel_243",2025-06-27 13:45:00,0.347,5,0.0814205133857556,0.159584206236081
"34",4,"mussel_244",2025-06-27 13:45:00,0.424,5,0.0833948439653196,0.163453894172026
"35",4,"mussel_245",2025-06-27 13:45:00,0.452,5,0.0191494125236259,0.0375328485463068
"36",4,"mussel_246",2025-06-27 13:45:00,0.521,5,0.0230607892319409,0.0451991468946041
"37",4,"mussel_247",2025-06-27 13:45:00,0.394,5,0.027116415692344,0.0531481747569942
"38",4,"mussel_248",2025-06-27 13:45:00,0.483,5,0.110464021292003,0.216509481732325
"39",4,"mussel_249",2025-06-27 13:45:00,1.063,5,0.385720494659021,0.756012169531681
"40",4,"mussel_250",2025-06-27 13:45:00,1.028,5,0.412750287704321,0.80899056390047
"41",5,"mussel_241",2025-06-27 13:50:00,0.407,5,0.155153794668387,0.304101437550039
"42",5,"mussel_242",2025-06-27 13:50:00,0.378,5,0.0942231394085338,0.184677353240726
"43",5,"mussel_243",2025-06-27 13:50:00,0.282,5,0.414924932969808,0.813252868620824
"44",5,"mussel_244",2025-06-27 13:50:00,0.445,5,0.107626669557317,0.210948272332342
"45",5,"mussel_245",2025-06-27 13:50:00,0.452,5,0.102736069615301,0.20136269644599
"46",5,"mussel_246",2025-06-27 13:50:00,0.526,5,0.041396859784288,0.0811378451772044
"47",5,"mussel_247",2025-06-27 13:50:00,0.356,5,0.0861347781096579,0.168824165094929
"48",5,"mussel_248",2025-06-27 13:50:00,0.431,5,0.0159749804381727,0.0313109616588185
"49",5,"mussel_249",2025-06-27 13:50:00,0.842,5,0.435412792646243,0.853409073586636
"50",5,"mussel_250",2025-06-27 13:50:00,1.311,5,0.392389729733081,0.769083870276838
"51",6,"mussel_241",2025-06-27 13:55:00,0.423,5,0.110225677589208,0.216042328074847
"52",6,"mussel_242",2025-06-27 13:55:00,0.342,5,0.0422610932182309,0.0828317427077325
"53",6,"mussel_243",2025-06-27 13:55:00,0.323,5,0.106055174319785,0.207868141666779
"54",6,"mussel_244",2025-06-27 13:55:00,0.465,5,0.0168433963320941,0.0330130568109044
"55",6,"mussel_245",2025-06-27 13:55:00,0.476,5,0.113122499972375,0.221720099945855
"56",6,"mussel_246",2025-06-27 13:55:00,0.547,5,0.138089463754481,0.270655348958782
"57",6,"mussel_247",2025-06-27 13:55:00,0.385,5,0.0255440795488896,0.0500663959158236
"58",6,"mussel_248",2025-06-27 13:55:00,0.413,5,0.124268660570556,0.243566574718289
"59",6,"mussel_249",2025-06-27 13:55:00,0.45,5,0.227303101606643,0.445514079149021
"60",6,"mussel_250",2025-06-27 13:55:00,0.758,5,0.349059450523833,0.684156523026712
"61",7,"mussel_241",2025-06-27 14:00:00,0.4,3,0.0242693221990232,0.0475678715100855
"62",7,"mussel_242",2025-06-27 14:00:00,0.367,3,0.0229128784747792,0.0449092418105672
"63",7,"mussel_243",2025-06-27 14:00:00,0.276,3,0.0557584074378026,0.109286478578093
"64",7,"mussel_244",2025-06-27 14:00:00,0.465,3,0.0137961347243832,0.0270404240597912
"65",7,"mussel_245",2025-06-27 14:00:00,0.448,3,0.132926044601249,0.260535047418449
"66",7,"mussel_246",2025-06-27 14:00:00,0.529,3,0.0124899959967968,0.0244803921537217
"67",7,"mussel_247",2025-06-27 14:00:00,0.365,3,0.0302875111776015,0.0593635219080988
"68",7,"mussel_248",2025-06-27 14:00:00,0.377,3,0.0213853532431272,0.0419152923565294
"69",7,"mussel_249",2025-06-27 14:00:00,0.514,3,0.284060439578153,0.556758461573179
"70",7,"mussel_250",2025-06-27 14:00:00,1.177,3,0.296874271928932,0.581873572980706
