"","i","id","time","hz","n","sd","ci"
"1",1,"mussel_251",2025-06-27 14:00:00,0.4755,4,0.0144337567297406,0.0282901631902916
"2",1,"mussel_252",2025-06-27 14:00:00,0.258,4,0.120048601269097,0.23529525848743
"3",1,"mussel_253",2025-06-27 14:00:00,0.5075,4,0.0625266609802038,0.122552255521199
"4",1,"mussel_254",2025-06-27 14:00:00,0.6395,4,0.0614294988855789,0.120401817815735
"5",1,"mussel_255",2025-06-27 14:00:00,0.407,4,0.240134684430772,0.470663981484314
"6",1,"mussel_256",2025-06-27 14:00:00,0.266,4,0.25996730563669,0.509535919047912
"7",1,"mussel_257",2025-06-27 14:00:00,0.4595,4,0.138118306775991,0.270711881280942
"8",1,"mussel_258",2025-06-27 14:00:00,0.5225,4,0.126865742683621,0.248656855659897
"9",1,"mussel_259",2025-06-27 14:00:00,0.5095,4,0.143418676143195,0.281100605240662
"10",1,"mussel_260",2025-06-27 14:00:00,0.939,4,0.640809579100271,1.25598677503653
"11",2,"mussel_251",2025-06-27 14:05:00,0.456,5,0.115114291032869,0.225624010424423
"12",2,"mussel_252",2025-06-27 14:05:00,0.476,5,0.244153230574572,0.478540331926161
"13",2,"mussel_253",2025-06-27 14:05:00,0.564,5,0.03014465126685,0.0590835164830259
"14",2,"mussel_254",2025-06-27 14:05:00,0.548,5,0.0283196045170126,0.0555064248533446
"15",2,"mussel_255",2025-06-27 14:05:00,0.555,5,0.208567255339854,0.408791820466115
"16",2,"mussel_256",2025-06-27 14:05:00,0.486,5,0.0339484903935359,0.0665390411713304
"17",2,"mussel_257",2025-06-27 14:05:00,0.362,5,0.087333842237703,0.171174330785898
"18",2,"mussel_258",2025-06-27 14:05:00,0.561,5,0.0245091819528926,0.0480379966276696
"19",2,"mussel_259",2025-06-27 14:05:00,0.611,5,0.0779217556270391,0.152726641028997
"20",2,"mussel_260",2025-06-27 14:05:00,0.676,5,0.194212512470232,0.380656524441655
"21",3,"mussel_251",2025-06-27 14:10:00,0.456,5,0.0471889817648145,0.0924904042590365
"22",3,"mussel_252",2025-06-27 14:10:00,0.45,5,0.300207761392007,0.588407212328333
"23",3,"mussel_253",2025-06-27 14:10:00,0.548,5,0.141414992133083,0.277173384580843
"24",3,"mussel_254",2025-06-27 14:10:00,0.497,5,0.0456344168364185,0.0894434569993804
"25",3,"mussel_255",2025-06-27 14:10:00,0.608,5,0.24742029019464,0.484943768781495
"26",3,"mussel_256",2025-06-27 14:10:00,0.256,5,0.115947401868261,0.227256907661791
"27",3,"mussel_257",2025-06-27 14:10:00,0.451,5,0.197798634980123,0.387685324561041
"28",3,"mussel_258",2025-06-27 14:10:00,0.526,5,0.00753657747256672,0.0147716918462308
"29",3,"mussel_259",2025-06-27 14:10:00,0.533,5,0.115287466794964,0.22596343491813
"30",3,"mussel_260",2025-06-27 14:10:00,0.692,5,0.20080388442458,0.393575613472176
"31",4,"mussel_251",2025-06-27 14:15:00,0.456,5,0.0481954354685171,0.0944630535182936
"32",4,"mussel_252",2025-06-27 14:15:00,0.403,5,0.254457658560319,0.498737010778226
"33",4,"mussel_253",2025-06-27 14:15:00,0.513,5,0.0488395331673021,0.0957254850079121
"34",4,"mussel_254",2025-06-27 14:15:00,0.496,5,0.123431357442102,0.24192546058652
"35",4,"mussel_255",2025-06-27 14:15:00,0.497,5,0.0499129241780122,0.097829331388904
"36",4,"mussel_256",2025-06-27 14:15:00,0.383,5,0.0757231800705702,0.148417432938318
"37",4,"mussel_257",2025-06-27 14:15:00,0.437,5,0.102258007021455,0.200425693762052
"38",4,"mussel_258",2025-06-27 14:15:00,0.514,5,0.114848595986194,0.22510324813294
"39",4,"mussel_259",2025-06-27 14:15:00,0.661,5,0.264924140085421,0.519251314567426
"40",4,"mussel_260",2025-06-27 14:15:00,0.734,5,0.33265793241707,0.652009547537457
"41",5,"mussel_251",2025-06-27 14:20:00,0.464,5,0.00432434966208792,0.00847572533769232
"42",5,"mussel_252",2025-06-27 14:20:00,0.803,5,0.242090478953634,0.474497338749123
"43",5,"mussel_253",2025-06-27 14:20:00,0.48,5,0.0616060062006944,0.120747772153361
"44",5,"mussel_254",2025-06-27 14:20:00,0.488,5,0.00367423461417477,0.00720149984378255
"45",5,"mussel_255",2025-06-27 14:20:00,0.551,5,0.0376297754444536,0.073754359871129
"46",5,"mussel_256",2025-06-27 14:20:00,0.378,5,0.09348368841675,0.18322802929683
"47",5,"mussel_257",2025-06-27 14:20:00,0.41,5,0.0180914344373242,0.0354592114971554
"48",5,"mussel_258",2025-06-27 14:20:00,0.499,5,0.0134275835502893,0.0263180637585671
"49",5,"mussel_259",2025-06-27 14:20:00,0.482,5,0.161888233049842,0.317300936777691
"50",5,"mussel_260",2025-06-27 14:20:00,1.086,5,0.594115561149512,1.16446649985304
"51",6,"mussel_251",2025-06-27 14:25:00,0.437,5,0.0117770964163498,0.0230831089760457
"52",6,"mussel_252",2025-06-27 14:25:00,0.73,5,0.27766292514486,0.544219333283925
"53",6,"mussel_253",2025-06-27 14:25:00,0.251,5,0.134819508974035,0.264246237589109
"54",6,"mussel_254",2025-06-27 14:25:00,0.437,5,0.106231821974397,0.208214371069818
"55",6,"mussel_255",2025-06-27 14:25:00,0.556,5,0.126602922557104,0.248141728211923
"56",6,"mussel_256",2025-06-27 14:25:00,0.409,5,0.00995991967839097,0.0195214425696463
"57",6,"mussel_257",2025-06-27 14:25:00,0.387,5,0.103270034375902,0.202409267376768
"58",6,"mussel_258",2025-06-27 14:25:00,0.475,5,0.112448654949715,0.220399363701441
"59",6,"mussel_259",2025-06-27 14:25:00,0.525,5,0.101231418047956,0.198413579373993
"60",6,"mussel_260",2025-06-27 14:25:00,0.538,5,0.174525929305648,0.34207082143907
"61",7,"mussel_251",2025-06-27 14:30:00,0.445,5,0.0118194754536739,0.0231661718892009
"62",7,"mussel_252",2025-06-27 14:30:00,0.414,5,0.207501084334516,0.406702125295652
"63",7,"mussel_253",2025-06-27 14:30:00,0.507,5,0.0573035775497482,0.112315011997506
"64",7,"mussel_254",2025-06-27 14:30:00,0.463,5,0.0191885382455256,0.0376095349612302
"65",7,"mussel_255",2025-06-27 14:30:00,0.527,5,0.183494686571574,0.359649585680284
"66",7,"mussel_256",2025-06-27 14:30:00,0.413,5,0.0476518625029495,0.0933976505057809
"67",7,"mussel_257",2025-06-27 14:30:00,0.357,5,0.0582769251076273,0.114222773210949
"68",7,"mussel_258",2025-06-27 14:30:00,0.468,5,0.109954536059228,0.215510890676086
"69",7,"mussel_259",2025-06-27 14:30:00,0.615,5,0.444572828679396,0.871362744211617
"70",7,"mussel_260",2025-06-27 14:30:00,0.659,5,0.124429899943703,0.243882603889658
