"","i","id","time","hz","n","sd","ci"
"1",1,"mussel_221",2025-06-27 12:35:00,0.229,5,0.0820987210619021,0.160913493281328
"2",1,"mussel_222",2025-06-27 12:35:00,0.546,5,0.130425457637687,0.255633896969866
"3",1,"mussel_223",2025-06-27 12:35:00,0.413,5,0.113950427818416,0.223342838524095
"4",1,"mussel_224",2025-06-27 12:35:00,0.395,5,0.165834857614435,0.325036320924293
"5",1,"mussel_225",2025-06-27 12:35:00,0.309,5,0.116703470385417,0.228738801955418
"6",1,"mussel_226",2025-06-27 12:35:00,0.493,5,0.121338369858837,0.237823204923321
"7",1,"mussel_227",2025-06-27 12:35:00,0.441,5,0.0738159874281988,0.14467933535927
"8",1,"mussel_228",2025-06-27 12:35:00,0.568,5,0.0698369529690407,0.13688042781932
"9",1,"mussel_229",2025-06-27 12:35:00,0.596,5,0.428591880464388,0.8400400857102
"10",1,"mussel_230",2025-06-27 12:35:00,0.843,5,0.547999726277304,1.07407946350352
"11",2,"mussel_221",2025-06-27 12:40:00,0.507,5,0.023004347415217,0.0450885209338253
"12",2,"mussel_222",2025-06-27 12:40:00,0.509,5,0.0423591784622884,0.0830239897860854
"13",2,"mussel_223",2025-06-27 12:40:00,0.331,5,0.0897680343997795,0.175945347423568
"14",2,"mussel_224",2025-06-27 12:40:00,0.341,5,0.127691033357867,0.25027442538142
"15",2,"mussel_225",2025-06-27 12:40:00,0.427,5,0.017401149387325,0.0341062527991569
"16",2,"mussel_226",2025-06-27 12:40:00,0.456,5,0.0398472081832592,0.0781005280391881
"17",2,"mussel_227",2025-06-27 12:40:00,0.456,5,0.130151066073237,0.255096089503544
"18",2,"mussel_228",2025-06-27 12:40:00,0.507,5,0.0367246511215559,0.0719803161982497
"19",2,"mussel_229",2025-06-27 12:40:00,0.656,5,0.247744828402128,0.485579863668172
"20",2,"mussel_230",2025-06-27 12:40:00,0.958,5,0.447047760312028,0.876213610211574
"21",3,"mussel_221",2025-06-27 12:45:00,0.506,5,0.0247446964014514,0.0484996049468447
"22",3,"mussel_222",2025-06-27 12:45:00,0.486,5,0.0163340135912763,0.0320146666389016
"23",3,"mussel_223",2025-06-27 12:45:00,0.213,5,0.0751711380783875,0.147335430633639
"24",3,"mussel_224",2025-06-27 12:45:00,0.463,5,0.339348346098813,0.665122758353674
"25",3,"mussel_225",2025-06-27 12:45:00,0.413,5,0.0126412024744484,0.0247767568499188
"26",3,"mussel_226",2025-06-27 12:45:00,0.465,5,0.0136638208419168,0.0267810888501569
