"","i","id","time","hz","n","sd","ci"
"1",1,"mussel_191",2025-06-27 10:55:00,0.204,5,0.174723209677478,0.342457490967857
"2",1,"mussel_192",2025-06-27 10:55:00,0.488,5,0.0162941707368003,0.0319365746441286
"3",1,"mussel_193",2025-06-27 10:55:00,0.171,5,0.0331707702654008,0.0650147097201856
"4",1,"mussel_194",2025-06-27 10:55:00,0.647,5,0.374036094514955,0.733110745249311
"5",1,"mussel_195",2025-06-27 10:55:00,0.442,5,0.188189266431431,0.368850962205604
"6",1,"mussel_196",2025-06-27 10:55:00,0.295,5,0.135901434871012,0.266366812347184
"7",1,"mussel_197",2025-06-27 10:55:00,0.51,5,0.115619202557361,0.226613637012427
"8",1,"mussel_198",2025-06-27 10:55:00,0.519,5,0.148486699741088,0.291033931492532
"9",1,"mussel_199",2025-06-27 10:55:00,0.544,5,0.217370651192842,0.426046476337969
"10",1,"mussel_200",2025-06-27 10:55:00,0.664,5,0.391215669420334,0.766782712063855
"11",2,"mussel_191",2025-06-27 11:00:00,0.323,5,0.101322258166703,0.198591626006738
"12",2,"mussel_192",2025-06-27 11:00:00,0.464,5,0.108514054389282,0.212687546602992
"13",2,"mussel_193",2025-06-27 11:00:00,0.364,5,0.115197656226158,0.225787406203269
"14",2,"mussel_194",2025-06-27 11:00:00,0.297,5,0.0899138476542963,0.176231141402421
"15",2,"mussel_195",2025-06-27 11:00:00,0.451,5,0.194260907029696,0.380751377778203
"16",2,"mussel_196",2025-06-27 11:00:00,0.537,5,0.0324422563950167,0.0635868225342327
"17",2,"mussel_197",2025-06-27 11:00:00,0.497,5,0.00939680796866682,0.018417743618587
"18",2,"mussel_198",2025-06-27 11:00:00,0.502,5,0.0111130553854464,0.021781588555475
"19",2,"mussel_199",2025-06-27 11:00:00,0.577,5,0.168802547374144,0.330852992853321
"20",2,"mussel_200",2025-06-27 11:00:00,0.861,5,0.414415853943837,0.812255073729921
"21",3,"mussel_191",2025-06-27 11:05:00,0.356,5,0.097147825503199,0.19040973798627
"22",3,"mussel_192",2025-06-27 11:05:00,0.417,5,0.0291032644217105,0.0570423982665526
"23",3,"mussel_193",2025-06-27 11:05:00,0.308,5,0.10743602747682,0.210574613854567
"24",3,"mussel_194",2025-06-27 11:05:00,0.267,5,0.125265717576678,0.245520806450288
"25",3,"mussel_195",2025-06-27 11:05:00,0.454,5,0.00981325634027766,0.0192339824269442
"26",3,"mussel_196",2025-06-27 11:05:00,0.413,5,0.146915962373052,0.287955286251182
"27",3,"mussel_197",2025-06-27 11:05:00,0.475,5,0.110083150390966,0.215762974766293
"28",3,"mussel_198",2025-06-27 11:05:00,0.481,5,0.00481663783151692,0.00944061014977317
"29",3,"mussel_199",2025-06-27 11:05:00,0.396,5,0.374964931693619,0.734931266119492
"30",3,"mussel_200",2025-06-27 11:05:00,1.065,5,0.414346835392766,0.812119797369822
"31",4,"mussel_191",2025-06-27 11:10:00,0.4,5,0.113987718636702,0.223415928527936
"32",4,"mussel_192",2025-06-27 11:10:00,0.412,5,0.0280588666912974,0.0549953787149429
"33",4,"mussel_193",2025-06-27 11:10:00,0.448,5,0.0655911579406859,0.128558669563744
"34",4,"mussel_194",2025-06-27 11:10:00,0.237,5,0.0575873249943075,0.112871156988843
"35",4,"mussel_195",2025-06-27 11:10:00,0.447,5,0.0137549990912395,0.0269597982188295
"36",4,"mussel_196",2025-06-27 11:10:00,0.468,5,0.101117753139595,0.198190796153605
"37",4,"mussel_197",2025-06-27 11:10:00,0.459,5,0.107121426428143,0.20995799579916
"38",4,"mussel_198",2025-06-27 11:10:00,0.458,5,0.0111579568022107,0.021869595332333
"39",4,"mussel_199",2025-06-27 11:10:00,0.457,5,0.138226987234765,0.27092489498014
"40",4,"mussel_200",2025-06-27 11:10:00,0.786,5,0.39631086283371,0.776769291154072
"41",5,"mussel_191",2025-06-27 11:15:00,0.395,5,0.018902380802428,0.0370486663727589
"42",5,"mussel_192",2025-06-27 11:15:00,0.423,5,0.0274645225700357,0.05383046423727
"43",5,"mussel_193",2025-06-27 11:15:00,0.405,5,0.0806926266767912,0.158157548286511
"44",5,"mussel_194",2025-06-27 11:15:00,0.938,5,0.494653211856549,0.969520295238836
"45",5,"mussel_195",2025-06-27 11:15:00,0.442,5,0.0157098695093244,0.0307913442382758
"46",5,"mussel_196",2025-06-27 11:15:00,0.485,5,0.0081363382427232,0.0159472229557375
"47",5,"mussel_197",2025-06-27 11:15:00,0.45,5,0.0262811719677795,0.0515110970568479
"48",5,"mussel_198",2025-06-27 11:15:00,0.452,5,0.0120623380818148,0.0236421826403571
"49",5,"mussel_199",2025-06-27 11:15:00,0.538,5,0.0910137352271623,0.178386921045238
"50",5,"mussel_200",2025-06-27 11:15:00,0.58,5,0.306472674148936,0.600686441331915
"51",6,"mussel_191",2025-06-27 11:20:00,0.395,5,0.0106395488626163,0.0208535157707279
"52",6,"mussel_192",2025-06-27 11:20:00,0.375,5,0.0904063050898553,0.177196357976116
"53",6,"mussel_193",2025-06-27 11:20:00,0.464,5,0.0560205319503484,0.109800242622683
"54",6,"mussel_194",2025-06-27 11:20:00,0.71,5,0.411301227812415,0.806150406512333
"55",6,"mussel_195",2025-06-27 11:20:00,0.457,5,0.144329484167304,0.282885788967915
"56",6,"mussel_196",2025-06-27 11:20:00,0.449,5,0.101120225474432,0.198195641929887
"57",6,"mussel_197",2025-06-27 11:20:00,0.458,5,0.0182071414560331,0.0356859972538249
"58",6,"mussel_198",2025-06-27 11:20:00,0.435,5,0.0290809215809953,0.0569986062987509
"59",6,"mussel_199",2025-06-27 11:20:00,0.514,5,0.124898759001041,0.244801567642039
"60",6,"mussel_200",2025-06-27 11:20:00,0.43,5,0.266641144612005,0.522616643439529
