"ArenaID","Rep","Group","Amax","mean_A","total_time_agg","mean_net_mm","mean_gross_mm","mean_CI","sd_CI","n","Byssus","Aggregated","Type","Amax....","k","Time","Status","sum_intensity","n_infected","Start_Time"
"HSA",5,"HS",71.43,39.8795833333333,100,18.9189679555926,117.080179264925,0.139806989266002,0.0892879474571471,7,5,"yes","sustained","57,14","22,46","15:28-17:28","uninfected",0,0,23
"HSB",3,"HS",28.57,16.6658333333333,70,5.58783607718319,45.3492323087499,0.146483438715701,0.0938783802565105,7,0,"yes","transient",NA,NA,"11:39-13:39","uninfected",0,0,18
"HSB",5,"HS",57.14,14.2858333333333,45,11.0547561680142,91.7071993046829,0.135039945272464,0.0385228333940631,7,3,"yes","transient",NA,NA,"15:28-17:28","infected",135,7,52
"HT1",1,"HT",71.43,30.95125,85,22.4563277775088,92.2104500388243,0.263696734810049,0.140958702054174,7,13,"yes","sustained","80,95","30,15","15:18-17:18","infected",73,7,36
"HT1",2,"HT",57.14,27.3795833333333,90,21.0619276403643,64.6080077825389,0.361151962966093,0.186712925570554,7,10,"yes","sustained","57,14","54,15","11:35-13:35","infected",57,6,31
"HT1",4,"HT",28.57,21.4275,90,11.941333823399,84.0001443978409,0.152914540610399,0.134936343022467,7,5,"yes","sustained","53,79","79,01","12:33-14:33","infected",110,7,11
"HT1",6,"HT",57.14,41.6645833333333,90,24.1075219888791,116.350171103725,0.330200857403436,0.233298596330332,7,6,"yes","sustained","119,29","96,29","16:05-18:05","infected",135,7,34
"HT2",1,"HT",28.57,27.3795833333333,115,11.8024244994771,98.3756181652349,0.264655601225487,0.168496481020743,7,9,"yes","sustained","31,28","5,23","15:18-17:18","uninfected",0,0,10
"HT2",2,"HT",57.14,29.7604166666667,95,22.1842508885261,85.5186613057913,0.306887277050335,0.188761677985761,7,7,"yes","sustained","57,14","46,04","11:35-13:35","uninfected",0,0,26
"HT2",4,"HT",71.43,64.8820833333333,115,16.132687586966,148.923095371748,0.099881312558379,0.073057177025861,7,24,"yes","sustained","84,48","12,29","12:33-14:33","uninfected",0,0,9
"HT2",6,"HT",57.14,44.0454166666667,110,14.21144173889,106.75048740654,0.233002948935362,0.202930138149744,7,15,"yes","sustained","90,22","52,55","16:05-18:05","uninfected",0,0,11
"HTA",3,"HT",42.86,37.5020833333333,110,25.0264732731403,97.1288930188327,0.254856378662477,0.122413046697926,7,13,"yes","sustained","52,98","17,62","11:39-13:39","uninfected",0,0,15
"HTA",5,"HT",57.14,38.095,100,17.0988309046012,127.173734009481,0.14562726946629,0.065986072530732,7,8,"yes","sustained","71,79","41,74","15:28-17:28","infected",87,6,23
"HTB",3,"HT",0,0,0,3.86085901174861,19.0886128765764,0.173608319913595,0.080028986121798,7,4,"no",NA,NA,NA,"11:39-13:39","infected",88,7,NA
"HTB",5,"HT",28.57,24.99875,105,12.4612276821636,54.8218148744821,0.204206045906241,0.0769025940119539,7,4,"yes","sustained","36,4","19,57","15:28-17:28","uninfected",0,0,17
