"Arena","Rep","Group","ID","NetDistance_px","NetDistance_mm","File"
7,"1A","Control1","1",29.8739579989782,11.2731916977276,"20250701_151554_1_stabilized_1A_Corrected.csv"
7,"1A","Control1","4",0.666402471956467,0.251472630926969,"20250701_151554_1_stabilized_1A_Corrected.csv"
7,"1A","Control1","2",0.909656024144501,0.343266424205472,"20250701_151554_1_stabilized_1A_Corrected.csv"
7,"1A","Control1","3",2.00663337236257,0.757220140514178,"20250701_151554_1_stabilized_1A_Corrected.csv"
7,"1A","Control1","6",3.91612683818048,1.47778371252094,"20250701_151554_1_stabilized_1A_Corrected.csv"
7,"1A","Control1","7",21.9007951828731,8.26445101240496,"20250701_151554_1_stabilized_1A_Corrected.csv"
0,"2A","Control2","5",8.32296319719686,3.02653207170795,"20250703_113459A_stabilized_2A_Corrected.csv"
0,"2A","Control2","6",1.02742456611682,0.373608933133388,"20250703_113459A_stabilized_2A_Corrected.csv"
0,"2A","Control2","3",20.8854755360872,7.59471837675898,"20250703_113459A_stabilized_2A_Corrected.csv"
0,"2A","Control2","4",9.88772324971299,3.59553572716836,"20250703_113459A_stabilized_2A_Corrected.csv"
0,"2A","Control2","7",113.73112275143,41.3567719096109,"20250703_113459A_stabilized_2A_Corrected.csv"
0,"2A","Control2","2",40.5023174449758,14.7281154345367,"20250703_113459A_stabilized_2A_Corrected.csv"
0,"2A","Control2","1",11.1144780088513,4.04162836685501,"20250703_113459A_stabilized_2A_Corrected.csv"
1,"2A","CM1","7",1.11132996413866,0.404119986959512,"20250703_113459A_stabilized_2A_Corrected.csv"
1,"2A","CM1","3",4.53289778253139,1.64832646637505,"20250703_113459A_stabilized_2A_Corrected.csv"
1,"2A","CM1","5",15.5432525961363,5.65209185314048,"20250703_113459A_stabilized_2A_Corrected.csv"
1,"2A","CM1","1",37.6738208785105,13.6995712285493,"20250703_113459A_stabilized_2A_Corrected.csv"
1,"2A","CM1","6",99.43385558122,36.1577656658982,"20250703_113459A_stabilized_2A_Corrected.csv"
1,"2A","CM1","2",9.59938628341719,3.49068592124262,"20250703_113459A_stabilized_2A_Corrected.csv"
1,"2A","CM1","4",17.4565585245642,6.34783946347788,"20250703_113459A_stabilized_2A_Corrected.csv"
2,"2A","HT2","4",67.6146906533235,24.5871602375722,"20250703_113459A_stabilized_2A_Corrected.csv"
2,"2A","HT2","7",12.9222180819499,4.69898839343633,"20250703_113459A_stabilized_2A_Corrected.csv"
2,"2A","HT2","5",33.5878195440204,12.213752561462,"20250703_113459A_stabilized_2A_Corrected.csv"
2,"2A","HT2","3",193.968097582735,70.533853666449,"20250703_113459A_stabilized_2A_Corrected.csv"
2,"2A","HT2","2",41.4559530172991,15.0748920062906,"20250703_113459A_stabilized_2A_Corrected.csv"
2,"2A","HT2","1",16.5998465072018,6.03630782080067,"20250703_113459A_stabilized_2A_Corrected.csv"
2,"2A","HT2","6",60.8982042175977,22.1448015336719,"20250703_113459A_stabilized_2A_Corrected.csv"
3,"2A","CM2","6",76.5894042581532,27.8506924575103,"20250703_113459A_stabilized_2A_Corrected.csv"
3,"2A","CM2","4",4.41180667755472,1.60429333729263,"20250703_113459A_stabilized_2A_Corrected.csv"
3,"2A","CM2","1",79.4653049440837,28.8964745251213,"20250703_113459A_stabilized_2A_Corrected.csv"
