i,id,time,hz,n,sd,ci,Mussel_ID,Rep,Length(mm),Time_Machine,Time_real,Sensor_ID,Line_ID,Beaker_ID,Group,P_Status,Status,Intensity,Note,bpm
4,Mussel_8,2025-06-24T09:00:00Z,0.447,5,0.027700180504827,0.054292353789461,P64,1,30.6,8:45-9:15,10:45-11:15,A,A8,8,Control,uninfected,uninfected,0,NA,26.82
5,Mussel_1,2025-06-24T09:05:00Z,0.482,5,0.0113446022407134,0.0222354203917983,G65,1,31.2,8:45-9:15,10:45-11:15,A,A1,1,CM,infected,infected,8,NA,28.919999999999998
5,Mussel_2,2025-06-24T09:05:00Z,0.415,5,0.0998333611574808,0.195673387868662,P88,1,33.5,8:45-9:15,10:45-11:15,A,A2,2,CM,uninfected,uninfected,0,NA,24.9
5,Mussel_3,2025-06-24T09:05:00Z,0.425,5,0.0100598210719674,0.0197172493010562,G48,1,34.4,8:45-9:15,10:45-11:15,A,A3,3,HT,infected,infected,5,NA,25.5
5,Mussel_4,2025-06-24T09:05:00Z,0.558,5,0.0357728947668483,0.0701148737430226,P41,1,28.9,8:45-9:15,10:45-11:15,A,A4,4,HT,uninfected,uninfected,0,NA,33.480000000000004
5,Mussel_5,2025-06-24T09:05:00Z,0.354,5,0.0825693647789542,0.16183595496675,G84,1,33.3,8:45-9:15,10:45-11:15,A,A5,5,HS,infected,infected,13,NA,21.24
5,Mussel_6,2025-06-24T09:05:00Z,0.459,5,0.0101636607578175,0.0199207750853223,P5,1,33.5,8:45-9:15,10:45-11:15,A,A6,6,HS,uninfected,uninfected,0,NA,27.540000000000003
5,Mussel_7,2025-06-24T09:05:00Z,0.413,5,0.0970401978563523,0.19019878779845,G51,1,34,8:45-9:15,10:45-11:15,A,A7,7,Control,infected,infected,16,NA,24.779999999999998
5,Mussel_8,2025-06-24T09:05:00Z,0.454,5,0.0910565758196518,0.178470888606518,P64,1,30.6,8:45-9:15,10:45-11:15,A,A8,8,Control,uninfected,uninfected,0,NA,27.240000000000002
6,Mussel_1,2025-06-24T09:10:00Z,0.48,5,0.0172973986483517,0.0339029013507694,G65,1,31.2,8:45-9:15,10:45-11:15,A,A1,1,CM,infected,infected,8,NA,28.799999999999997
6,Mussel_2,2025-06-24T09:10:00Z,0.433,5,0.00820365772079748,0.0160791691327631,P88,1,33.5,8:45-9:15,10:45-11:15,A,A2,2,CM,uninfected,uninfected,0,NA,25.98
6,Mussel_3,2025-06-24T09:10:00Z,0.41,5,0.092669844070226,0.181632894377643,G48,1,34.4,8:45-9:15,10:45-11:15,A,A3,3,HT,infected,infected,5,NA,24.599999999999998
6,Mussel_4,2025-06-24T09:10:00Z,0.508,5,0.100856333464984,0.197678413591368,P41,1,28.9,8:45-9:15,10:45-11:15,A,A4,4,HT,uninfected,uninfected,0,NA,30.48
6,Mussel_5,2025-06-24T09:10:00Z,0.367,5,0.106330616475218,0.208408008291428,G84,1,33.3,8:45-9:15,10:45-11:15,A,A5,5,HS,infected,infected,13,NA,22.02
6,Mussel_6,2025-06-24T09:10:00Z,0.442,5,0.14300279717544,0.280285482463862,P5,1,33.5,8:45-9:15,10:45-11:15,A,A6,6,HS,uninfected,uninfected,0,NA,26.52
6,Mussel_7,2025-06-24T09:10:00Z,0.406,5,0.011458621208505,0.0224588975686697,G51,1,34,8:45-9:15,10:45-11:15,A,A7,7,Control,infected,infected,16,NA,24.360000000000003
6,Mussel_8,2025-06-24T09:10:00Z,0.44,5,0.135021479772664,0.264642100354422,P64,1,30.6,8:45-9:15,10:45-11:15,A,A8,8,Control,uninfected,uninfected,0,NA,26.4
1,Mussel_11,2025-06-24T09:35:00Z,0.248,3,0.150513565280121,0.295006587949038,G18,2,33,9:36-10:06,11:36-12:06,B,B1,9,CM,infected,infected,11,NA,14.879999999999999
1,Mussel_12,2025-06-24T09:35:00Z,0.59,3,0.045177427992306,0.0885477588649198,P7,2,30.8,9:36-10:06,11:36-12:06,B,B2,10,CM,uninfected,uninfected,0,NA,35.4
1,Mussel_13,2025-06-24T09:35:00Z,0.165,3,0.0495210392998101,0.0970612370276277,G52,2,31.5,9:36-10:06,11:36-12:06,B,B3,11,HT,infected,infected,8,NA,9.9
1,Mussel_14,2025-06-24T09:35:00Z,0.423,3,0.0696347614342147,0.136484132411061,P38,2,34.6,9:36-10:06,11:36-12:06,B,B4,12,HT,uninfected,uninfected,0,NA,25.38
1,Mussel_15,2025-06-24T09:35:00Z,0.172,3,0.00814452781524708,0.0159632745178843,G35,2,34.2,9:36-10:06,11:36-12:06,B,B5,13,HS,infected,infected,30,NA,10.319999999999999
1,Mussel_16,2025-06-24T09:35:00Z,0.345,3,0.0609015599143404,0.119367057432107,P33,2,29.8,9:36-10:06,11:36-12:06,B,B6,14,HS,uninfected,uninfected,0,NA,20.7
1,Mussel_17,2025-06-24T09:35:00Z,0.249,3,0.209421425201275,0.4104659933945,G43,2,33.1,9:36-10:06,11:36-12:06,B,B7,15,Control,infected,infected,26,NA,14.94
1,Mussel_18,2025-06-24T09:35:00Z,0.607,3,0.152716512968747,0.299324365418743,P4,2,28.9,9:36-10:06,11:36-12:06,B,B8,16,Control,uninfected,uninfected,0,NA,36.42
2,Mussel_11,2025-06-24T09:40:00Z,0.339,5,0.0596095629911846,0.116834743462722,G18,2,33,9:36-10:06,11:36-12:06,B,B1,9,CM,infected,infected,11,NA,20.34
2,Mussel_12,2025-06-24T09:40:00Z,0.523,5,0.0966607469451793,0.189455064012552,P7,2,30.8,9:36-10:06,11:36-12:06,B,B2,10,CM,uninfected,uninfected,0,NA,31.380000000000003
2,Mussel_13,2025-06-24T09:40:00Z,0.242,5,0.103429686260764,0.202722185071097,G52,2,31.5,9:36-10:06,11:36-12:06,B,B3,11,HT,infected,infected,8,NA,14.52
2,Mussel_14,2025-06-24T09:40:00Z,0.524,5,0.00549545266561364,0.0107710872246027,P38,2,34.6,9:36-10:06,11:36-12:06,B,B4,12,HT,uninfected,uninfected,0,NA,31.44
2,Mussel_15,2025-06-24T09:40:00Z,0.211,5,0.0142021125189177,0.0278361405370788,G35,2,34.2,9:36-10:06,11:36-12:06,B,B5,13,HS,infected,infected,30,NA,12.66
