"Rep","ArenaID","mean_net_mm","mean_gross_mm","mean_CI","sd_CI","n","Byssus","Start_Time","Aggregated","Type","Amax....","k","Time","Group","P_Status","Status","Notes","sum_intensity","n_infected"
5,"HSA",18.9189679555926,117.080179264925,0.139806989266002,0.0892879474571471,7,5,23,"yes","sustained","57,14","22,46","15:28-17:28","HS","uninfected","uninfected","",0,0
5,"HSB",11.0547561680142,91.7071993046829,0.135039945272464,0.0385228333940631,7,3,52,"yes","transient",NA,NA,"15:28-17:28","HS","infected","infected","",135,7
5,"HTA",17.0988309046012,127.173734009481,0.14562726946629,0.065986072530732,7,8,23,"yes","sustained","71,79","41,74","15:28-17:28","HT","infected","infected","",87,6
5,"HTB",12.4612276821636,54.8218148744821,0.204206045906241,0.0769025940119539,7,4,17,"yes","sustained","36,4","19,57","15:28-17:28","HT","uninfected","uninfected","",0,0
6,"CM1",6.7036637994649,33.258040476385,0.211534944126565,0.115138240685017,7,6,31,"yes","transient",NA,NA,"16:05-18:05","CM","infected","infected","",165,7
6,"CM2",24.6396010302144,230.488573479335,0.114857044726846,0.0856568449853432,7,18,13,"yes","sustained","90,22","15,75","16:05-18:05","CM","uninfected","uninfected","",0,0
6,"Control1",6.6186606792902,69.4418943200535,0.129303139429737,0.0723635615032889,7,5,46,"yes","transient",NA,NA,"16:05-18:05","Control","infected","infected","",206,7
6,"Control2",4.43079110672365,26.607296543581,0.180879656570435,0.125591139606203,7,2,22,"yes","transient",NA,NA,"16:05-18:05","Control","uninfected","uninfected","",0,0
6,"HS1",16.9065746335434,122.342462553937,0.167313323862537,0.0845282994729053,7,5,32,"yes","sustained","107,55","76,28","16:05-18:05","HS","uninfected","uninfected","",0,0
6,"HS2",7.92427146831942,60.2109866235048,0.257033367351052,0.233114886297487,7,10,23,"yes","transient",NA,NA,"16:05-18:05","HS","infected","infected","",85,7
6,"HT1",24.1075219888791,116.350171103725,0.330200857403436,0.233298596330332,7,6,34,"yes","sustained","119,29","96,29","16:05-18:05","HT","infected","infected","",135,7
6,"HT2",14.21144173889,106.75048740654,0.233002948935362,0.202930138149744,7,15,11,"yes","sustained","90,22","52,55","16:05-18:05","HT","uninfected","uninfected","",0,0
