Mussel_ID;Rep;ArenaID;Byssus;Byssus_Threads;Start_Time;Aggregated;Type;Amax (%);k;Time;Cluster_Score;Group;Byssus_Threads;Length(mm);P_Status;Status;Intensity;Notes
P68;1;HT2;9;0;10;yes;sustained;31,28;5,23;15:18-17:18;;HT;0;27.3;uninfected;uninfected;0;
P87;1;HT2;9;1;10;yes;sustained;31,28;5,23;15:18-17:18;;HT;1;36.2;uninfected;uninfected;0;
B10;2;CM1;6;0;13;yes;sustained;33,57;11,26;11:35-13:35;;CM;0;37.8;uninfected;uninfected;0;
B24;2;CM1;6;0;13;yes;sustained;33,57;11,26;11:35-13:35;;CM;0;36;uninfected;uninfected;0;
B29;2;CM1;6;0;13;yes;sustained;33,57;11,26;11:35-13:35;;CM;0;27.8;uninfected;uninfected;0;
B49;2;CM1;6;2;13;yes;sustained;33,57;11,26;11:35-13:35;;CM;2;32.1;uninfected;uninfected;0;
B88;2;CM1;6;2;13;yes;sustained;33,57;11,26;11:35-13:35;;CM;2;37.3;uninfected;uninfected;0;
P73;2;CM1;6;0;13;yes;sustained;33,57;11,26;11:35-13:35;;CM;0;38;uninfected;uninfected;0;
P85;2;CM1;6;2;13;yes;sustained;33,57;11,26;11:35-13:35;;CM;2;37.1;uninfected;uninfected;0;
G32;2;CM2;13;0;14;yes;sustained;33,57;11,26;11:35-13:35;;CM;0;37.8;infected;infected;8;
G89;2;CM2;13;0;14;yes;sustained;33,57;11,26;11:35-13:35;;CM;0;29;infected;infected;2;
G98;2;CM2;13;3;14;yes;sustained;33,57;11,26;11:35-13:35;;CM;3;33.6;infected;infected;12;
Y27;2;CM2;13;7;14;yes;sustained;33,57;11,26;11:35-13:35;;CM;7;36;infected;infected;119;
Y79;2;CM2;13;0;14;yes;sustained;33,57;11,26;11:35-13:35;;CM;0;36.7;infected;infected;22;
Y88;2;CM2;13;1;14;yes;sustained;33,57;11,26;11:35-13:35;;CM;1;31.6;infected;infected;15;
Y92;2;CM2;13;2;14;yes;sustained;33,57;11,26;11:35-13:35;;CM;2;30.8;infected;infected;NA;"Died during dissection; parasite load could not be determined."
G41;2;Control1;4;0;33;yes;transient;NA;NA;11:35-13:35;;Control;0;37.3;infected;infected;NA;"Died during dissection; parasite load could not be determined."
G5;2;Control1;4;1;33;yes;transient;NA;NA;11:35-13:35;;Control;1;28.5;infected;infected;15;
G69;2;Control1;4;3;33;yes;transient;NA;NA;11:35-13:35;;Control;3;34.9;infected;infected;16;
G71;2;Control1;4;0;33;yes;transient;NA;NA;11:35-13:35;;Control;0;38.3;infected;infected;23;
Y2;2;Control1;4;0;33;yes;transient;NA;NA;11:35-13:35;;Control;0;26.4;infected;infected;9;
Y21;2;Control1;4;0;33;yes;transient;NA;NA;11:35-13:35;;Control;0;27;infected;infected;8;
Y50;2;Control1;4;0;33;yes;transient;NA;NA;11:35-13:35;;Control;0;35.3;infected;uninfected;0;
B3;2;Control2;6;0;16;yes;sustained;34,71;23,84;11:35-13:35;;Control;0;35.7;uninfected;uninfected;0;
B5;2;Control2;6;0;16;yes;sustained;34,71;23,84;11:35-13:35;;Control;0;36.4;uninfected;uninfected;0;
B97;2;Control2;6;3;16;yes;sustained;34,71;23,84;11:35-13:35;;Control;3;35.9;uninfected;uninfected;0;
P13;2;Control2;6;3;16;yes;sustained;34,71;23,84;11:35-13:35;;Control;3;37.5;uninfected;uninfected;0;
P48;2;Control2;6;0;16;yes;sustained;34,71;23,84;11:35-13:35;;Control;0;36.6;uninfected;uninfected;0;
P69;2;Control2;6;0;16;yes;sustained;34,71;23,84;11:35-13:35;;Control;0;37.7;uninfected;uninfected;0;
P95;2;Control2;6;0;16;yes;sustained;34,71;23,84;11:35-13:35;;Control;0;38.2;uninfected;uninfected;0;
