Mussel_ID;Rep;ArenaID;Byssus;Byssus_Threads;Start_Time;Aggregated;Type;Amax (%);k;Time;Cluster_Score;Group;Byssus_Threads;Length(mm);P_Status;Status;Intensity;Notes
G36;5;CMB;0;0;45;yes;sustained;74,1;141;15:28-17:28;;CM;0;30;infected;infected;NA;"Died during dissection; parasite load could not be determined."
G70;5;CMB;0;0;45;yes;sustained;74,1;141;15:28-17:28;;CM;0;30;infected;infected;8;
G99;5;CMB;0;0;45;yes;sustained;74,1;141;15:28-17:28;;CM;0;39;infected;infected;17;
Y60;5;CMB;0;0;45;yes;sustained;74,1;141;15:28-17:28;;CM;0;27;infected;infected;5;
Y82;5;CMB;0;0;45;yes;sustained;74,1;141;15:28-17:28;;CM;0;32.4;infected;infected;13;
Y83;5;CMB;0;0;45;yes;sustained;74,1;141;15:28-17:28;;CM;0;33.2;infected;infected;27;
G11;5;ControlA;1;0;20;yes;sustained;35,14;12,47;15:28-17:28;;Control;0;32;infected;infected;1;
G20;5;ControlA;1;0;20;yes;sustained;35,14;12,47;15:28-17:28;;Control;0;36;infected;infected;21;
G90;5;ControlA;1;0;20;yes;sustained;35,14;12,47;15:28-17:28;;Control;0;28.3;infected;infected;10;
G96;5;ControlA;1;0;20;yes;sustained;35,14;12,47;15:28-17:28;;Control;0;37;infected;infected;8;
Y51;5;ControlA;1;1;20;yes;sustained;35,14;12,47;15:28-17:28;;Control;1;34;infected;infected;4;
Y69;5;ControlA;1;0;20;yes;sustained;35,14;12,47;15:28-17:28;;Control;0;33.5;infected;infected;11;
Y93;5;ControlA;1;0;20;yes;sustained;35,14;12,47;15:28-17:28;;Control;0;32.3;infected;infected;2;
B39;5;ControlB;0;0;NA;no;NA;NA;NA;15:28-17:28;;Control;0;31.9;uninfected;uninfected;0;
P25;5;ControlB;0;0;NA;no;NA;NA;NA;15:28-17:28;;Control;0;34.4;uninfected;uninfected;0;
P3;5;ControlB;0;0;NA;no;NA;NA;NA;15:28-17:28;;Control;0;34.4;uninfected;uninfected;0;
P30;5;ControlB;0;0;NA;no;NA;NA;NA;15:28-17:28;;Control;0;38;uninfected;uninfected;0;
P37;5;ControlB;0;0;NA;no;NA;NA;NA;15:28-17:28;;Control;0;33;uninfected;uninfected;0;
P43;5;ControlB;0;0;NA;no;NA;NA;NA;15:28-17:28;;Control;0;30.8;uninfected;uninfected;0;
P55;5;ControlB;0;0;NA;no;NA;NA;NA;15:28-17:28;;Control;0;31.8;uninfected;uninfected;0;
B34;5;HSA;5;1;23;yes;sustained;57,14;22,46;15:28-17:28;;HS;1;33.5;uninfected;uninfected;0;
B51;5;HSA;5;1;23;yes;sustained;57,14;22,46;15:28-17:28;;HS;1;34.9;uninfected;uninfected;0;
B73;5;HSA;5;0;23;yes;sustained;57,14;22,46;15:28-17:28;;HS;0;34.4;uninfected;uninfected;0;
P16;5;HSA;5;1;23;yes;sustained;57,14;22,46;15:28-17:28;;HS;1;35;uninfected;uninfected;0;
P29;5;HSA;5;0;23;yes;sustained;57,14;22,46;15:28-17:28;;HS;0;34.1;uninfected;uninfected;0;
P4;5;HSA;5;0;23;yes;sustained;57,14;22,46;15:28-17:28;;HS;0;28.9;uninfected;uninfected;0;
P71;5;HSA;5;2;23;yes;sustained;57,14;22,46;15:28-17:28;;HS;2;36.4;uninfected;uninfected;0;
G79;5;HSB;3;1;52;yes;transient;NA;NA;15:28-17:28;;HS;1;36.3;infected;infected;9;
G83;5;HSB;3;0;52;yes;transient;NA;NA;15:28-17:28;;HS;0;34;infected;infected;6;
G88;5;HSB;3;0;52;yes;transient;NA;NA;15:28-17:28;;HS;0;34.6;infected;infected;12;
Y22;5;HSB;3;1;52;yes;transient;NA;NA;15:28-17:28;;HS;1;35;infected;infected;57;
Y57;5;HSB;3;0;52;yes;transient;NA;NA;15:28-17:28;;HS;0;33;infected;infected;12;
Y86;5;HSB;3;0;52;yes;transient;NA;NA;15:28-17:28;;HS;0;28.1;infected;infected;33;
Y90;5;HSB;3;1;52;yes;transient;NA;NA;15:28-17:28;;HS;1;38.1;infected;infected;6;
G23;5;HTA;8;0;23;yes;sustained;71,79;41,74;15:28-17:28;;HT;0;30;infected;infected;23;
G44;5;HTA;8;1;23;yes;sustained;71,79;41,74;15:28-17:28;;HT;1;34.4;infected;uninfected;0;
G58;5;HTA;8;0;23;yes;sustained;71,79;41,74;15:28-17:28;;HT;0;33.5;infected;infected;10;
G77;5;HTA;8;0;23;yes;sustained;71,79;41,74;15:28-17:28;;HT;0;33.2;infected;infected;33;
G84;5;HTA;8;3;23;yes;sustained;71,79;41,74;15:28-17:28;;HT;3;33.3;infected;infected;13;
Y37;5;HTA;8;2;23;yes;sustained;71,79;41,74;15:28-17:28;;HT;2;28.9;infected;infected;2;
Y41;5;HTA;8;2;23;yes;sustained;71,79;41,74;15:28-17:28;;HT;2;30;infected;infected;6;
B4;5;HTB;4;0;17;yes;sustained;36,4;19,57;15:28-17:28;;HT;0;35.4;uninfected;uninfected;0;
B50;5;HTB;4;3;17;yes;sustained;36,4;19,57;15:28-17:28;;HT;3;33.9;uninfected;uninfected;0;
B57;5;HTB;4;0;17;yes;sustained;36,4;19,57;15:28-17:28;;HT;0;36.1;uninfected;uninfected;0;
B76;5;HTB;4;0;17;yes;sustained;36,4;19,57;15:28-17:28;;HT;0;30;uninfected;uninfected;0;
B84;5;HTB;4;1;17;yes;sustained;36,4;19,57;15:28-17:28;;HT;1;34.4;uninfected;uninfected;0;
P5;5;HTB;4;0;17;yes;sustained;36,4;19,57;15:28-17:28;;HT;0;33.5;uninfected;uninfected;0;
P90;5;HTB;4;0;17;yes;sustained;36,4;19,57;15:28-17:28;;HT;0;35.7;uninfected;uninfected;0;
G1;6;CM1;6;0;31;yes;transient;NA;NA;16:05-18:05;;CM;0;35.9;infected;infected;3;
G72;6;CM1;6;0;31;yes;transient;NA;NA;16:05-18:05;;CM;0;33.3;infected;infected;14;
Y19;6;CM1;6;3;31;yes;transient;NA;NA;16:05-18:05;;CM;3;32.8;infected;infected;31;
Y32;6;CM1;6;3;31;yes;transient;NA;NA;16:05-18:05;;CM;3;31.8;infected;infected;8;
Y36;6;CM1;6;0;31;yes;transient;NA;NA;16:05-18:05;;CM;0;31.1;infected;infected;4;
Y62;6;CM1;6;0;31;yes;transient;NA;NA;16:05-18:05;;CM;0;30;infected;infected;9;
Y67;6;CM1;6;0;31;yes;transient;NA;NA;16:05-18:05;;CM;0;31.7;infected;infected;96;
B21;6;CM2;18;3;13;yes;sustained;90,22;15,75;16:05-18:05;;CM;3;32.1;uninfected;uninfected;0;
B40;6;CM2;18;0;13;yes;sustained;90,22;15,75;16:05-18:05;;CM;0;29.6;uninfected;uninfected;0;
B58;6;CM2;18;6;13;yes;sustained;90,22;15,75;16:05-18:05;;CM;6;36;uninfected;uninfected;0;
B79;6;CM2;18;0;13;yes;sustained;90,22;15,75;16:05-18:05;;CM;0;30.2;uninfected;uninfected;0;
B92;6;CM2;18;6;13;yes;sustained;90,22;15,75;16:05-18:05;;CM;6;36.8;uninfected;uninfected;0;
P44;6;CM2;18;0;13;yes;sustained;90,22;15,75;16:05-18:05;;CM;0;33.4;uninfected;uninfected;0;
P76;6;CM2;18;3;13;yes;sustained;90,22;15,75;16:05-18:05;;CM;3;38.8;uninfected;uninfected;0;
G33;6;Control1;5;0;46;yes;transient;NA;NA;16:05-18:05;;Control;0;28.1;infected;infected;28;
G54;6;Control1;5;0;46;yes;transient;NA;NA;16:05-18:05;;Control;0;31;infected;infected;6;
G55;6;Control1;5;0;46;yes;transient;NA;NA;16:05-18:05;;Control;0;37;infected;infected;11;
Y33;6;Control1;5;3;46;yes;transient;NA;NA;16:05-18:05;;Control;3;28.4;infected;infected;21;
Y34;6;Control1;5;0;46;yes;transient;NA;NA;16:05-18:05;;Control;0;31.2;infected;infected;120;
Y6;6;Control1;5;1;46;yes;transient;NA;NA;16:05-18:05;;Control;1;29.8;infected;infected;12;
Y63;6;Control1;5;1;46;yes;transient;NA;NA;16:05-18:05;;Control;1;30.6;infected;infected;8;
B38;6;Control2;2;0;22;yes;transient;NA;NA;16:05-18:05;;Control;0;30.9;uninfected;uninfected;0;
B42;6;Control2;2;0;22;yes;transient;NA;NA;16:05-18:05;;Control;0;27.2;uninfected;uninfected;0;
B63;6;Control2;2;0;22;yes;transient;NA;NA;16:05-18:05;;Control;0;34.8;uninfected;uninfected;0;
B81;6;Control2;2;0;22;yes;transient;NA;NA;16:05-18:05;;Control;0;33.4;uninfected;uninfected;0;
P21;6;Control2;2;2;22;yes;transient;NA;NA;16:05-18:05;;Control;2;34.8;uninfected;uninfected;0;
P56;6;Control2;2;0;22;yes;transient;NA;NA;16:05-18:05;;Control;0;28.4;uninfected;uninfected;0;
P65;6;Control2;2;0;22;yes;transient;NA;NA;16:05-18:05;;Control;0;32;uninfected;uninfected;0;
B55;6;HS1;5;0;32;yes;sustained;107,55;76,28;16:05-18:05;;HS;0;33.6;uninfected;uninfected;0;
B59;6;HS1;5;0;32;yes;sustained;107,55;76,28;16:05-18:05;;HS;0;30;uninfected;uninfected;0;
B83;6;HS1;5;0;32;yes;sustained;107,55;76,28;16:05-18:05;;HS;0;30.9;uninfected;uninfected;0;
B95;6;HS1;5;0;32;yes;sustained;107,55;76,28;16:05-18:05;;HS;0;31.1;uninfected;uninfected;0;
P31;6;HS1;5;2;32;yes;sustained;107,55;76,28;16:05-18:05;;HS;2;33;uninfected;uninfected;0;
P63;6;HS1;5;3;32;yes;sustained;107,55;76,28;16:05-18:05;;HS;3;29.3;uninfected;uninfected;0;
P81;6;HS1;5;0;32;yes;sustained;107,55;76,28;16:05-18:05;;HS;0;36;uninfected;uninfected;0;
G14;6;HS2;10;0;23;yes;transient;NA;NA;16:05-18:05;;HS;0;34.1;infected;infected;2;
G39;6;HS2;10;3;23;yes;transient;NA;NA;16:05-18:05;;HS;3;31;infected;infected;13;
G94;6;HS2;10;1;23;yes;transient;NA;NA;16:05-18:05;;HS;1;34;infected;infected;19;
Y35;6;HS2;10;0;23;yes;transient;NA;NA;16:05-18:05;;HS;0;31.2;infected;infected;12;
Y65;6;HS2;10;0;23;yes;transient;NA;NA;16:05-18:05;;HS;0;32.6;infected;infected;15;
Y74;6;HS2;10;6;23;yes;transient;NA;NA;16:05-18:05;;HS;6;32.4;infected;infected;21;
Y78;6;HS2;10;0;23;yes;transient;NA;NA;16:05-18:05;;HS;0;29.2;infected;infected;3;
G27;6;HT1;6;0;34;yes;sustained;119,29;96,29;16:05-18:05;;HT;0;28.1;infected;infected;7;
G46;6;HT1;6;0;34;yes;sustained;119,29;96,29;16:05-18:05;;HT;0;28.3;infected;infected;100;
G68;6;HT1;6;0;34;yes;sustained;119,29;96,29;16:05-18:05;;HT;0;32.1;infected;infected;4;
Y16;6;HT1;6;0;34;yes;sustained;119,29;96,29;16:05-18:05;;HT;0;34.7;infected;infected;2;
Y45;6;HT1;6;0;34;yes;sustained;119,29;96,29;16:05-18:05;;HT;0;32;infected;infected;3;
Y68;6;HT1;6;1;34;yes;sustained;119,29;96,29;16:05-18:05;;HT;1;36;infected;infected;10;
Y7;6;HT1;6;5;34;yes;sustained;119,29;96,29;16:05-18:05;;HT;5;31.2;infected;infected;9;
B31;6;HT2;15;2;11;yes;sustained;90,22;52,55;16:05-18:05;;HT;2;30.2;uninfected;uninfected;0;
B60;6;HT2;15;2;11;yes;sustained;90,22;52,55;16:05-18:05;;HT;2;32.1;uninfected;uninfected;0;
B85;6;HT2;15;3;11;yes;sustained;90,22;52,55;16:05-18:05;;HT;3;31.6;uninfected;uninfected;0;
P62;6;HT2;15;3;11;yes;sustained;90,22;52,55;16:05-18:05;;HT;3;34;uninfected;uninfected;0;
P64;6;HT2;15;3;11;yes;sustained;90,22;52,55;16:05-18:05;;HT;3;30.6;uninfected;uninfected;0;
P94;6;HT2;15;2;11;yes;sustained;90,22;52,55;16:05-18:05;;HT;2;41;uninfected;uninfected;0;
P97;6;HT2;15;0;11;yes;sustained;90,22;52,55;16:05-18:05;;HT;0;38.8;uninfected;uninfected;0;
