Mussel_ID;Time_Machine;Rep;Sensor_ID;Line_ID;Gt1_1;Window6(min);Gt1;Window1(min);Gt4;Window4(min);Gt5;Window5(min);Gt2;Window2(min);Gt3;Window3(min);Beaker_ID;Group;File_name;P_Status;Status;Length(mm);Intensity;Note
B95;12:20-12:50;18;B;7;0.529;0-30;0.516;0-30;0.567;5-30;0.605;10-30;0.247;0-5;0.330;0-10;4;HS;00000024.DAT;uninfected;uninfected;31,1;0;
Y72;12:20-12:50;18;A;1;0.681;0-30;0.675;0-30;0.701;5-30;0.686;10-30;0.549 ;0-5;0.654;0-10;5;HT;00000024.DAT;infected;infected;30,4;27;
B44;12:20-12:50;18;A;3;0.277;0-30;0.271;0-30;0.319;5-30;0.398;10-30;0.00333;0-5;0.00441;0-10;6;HT;00000024.DAT;uninfected;uninfected;30,8;0;
Y62;12:20-12:50;18;A;4;0.611;0-30;0.616;0-30;0.687;5-30;0.731;10-30;0.266;0-5;0.387;0-10;7;Control;00000024.DAT;infected;infected;30;9;
B69;12:20-12:50;18;A;8;0.748;0-30;0.740;0-30;0.854;5-30;0.837;10-30;0.160 ;0-5;0.542;0-10;8;Control;00000024.DAT;uninfected;uninfected;31,2;0;
Y57;13:55-14:25;19;B;1;0.533;0-30;0.547;0-30;0.626;5-30;0.689;10-30;0.150 ;0-5;0.263;0-10;1;CM;00000025.DAT;infected;infected;33;12;
B70;13:55-14:25;19;B;2;0.329;0-30;0.329;0-30;0.365;5-30;0.314;10-30;0.151 ;0-5;0.360;0-10;2;CM;00000025.DAT;uninfected;uninfected;30,9;0;
Y35;13:55-14:25;19;B;6;0.355;0-30;0.355;0-30;0.401;5-30;0.499;10-30;0.111 ;0-5;0.0595;0-10;3;HS;00000025.DAT;infected;infected;31,2;12;
B19;13:55-14:25;19;B;7;0.226;0-30;0.227 ;0-30;0.256;5-30;0.315 ;10-30;0.0532;0-5;0.0370;0-10;4;HS;00000025.DAT;uninfected;uninfected;32,2;0;
Y16;13:55-14:25;19;A;1;0.212;0-30;0.212;0-30;0.250;5-30;0.307;10-30;0.0116;0-5;0.0155 ;0-10;5;HT;00000025.DAT;infected;infected;34,7;2;
B34;13:55-14:25;19;A;3;0.440;0-30;0.367;0-30;0.405;5-30;0.433;10-30;0.174 ;0-5;0.233;0-10;6;HT;00000025.DAT;uninfected;uninfected;33,5;0;
Y41;13:55-14:25;19;A;4;0.643;0-30;0.631;0-30;0.756;5-30;0.778;10-30;0.0115;0-5;0.339 ;0-10;7;Control;00000025.DAT;infected;infected;30;6;
B79;13:55-14:25;19;A;8;0.621;0-30;0.491;0-30;0.494;5-30;0.466;10-30;0.460 ;0-5;0.532;0-10;8;Control;00000025.DAT;uninfected;uninfected;30,2;0;
G17;15:15-15:45;20;B;1;0.493;0-30;0.469;0-30;0.525;5-30;0.643;10-30;0.00930;0-5;0.0305 ;0-10;1;CM;00000026.DAT;infected;infected;32;12;
P32;15:15-15:45;20;B;2;0.468;0-30;0.352;0-30;0.328;5-30;0.342;10-30;0.425;0-5;0.350;0-10;2;CM;00000026.DAT;uninfected;uninfected;30,3;0;
G14;15:15-15:45;20;B;6;0.388;0-30;0.373;0-30;0.488;5-30;0.515 ;10-30;0.132  ;0-5;0.255;0-10;3;HS;00000026.DAT;infected;infected;34,1;2;
P55;15:15-15:45;20;B;7;0.581;0-30;0.577;0-30;0.691;5-30;0.780;10-30;0.00854;0-5;0.172;0-10;4;HS;00000026.DAT;uninfected;uninfected;31,8;0;
G46;15:15-15:45;20;A;1;0.596;0-30;0.591 ;0-30;0.547 ;5-30;0.539 ;10-30;0.815;0-5;0.698 ;0-10;5;HT;00000026.DAT;infected;infected;28,3;100;
P3;15:15-15:45;20;A;3;0.202;0-30;0.200;0-30;0.238;5-30;0.296 ;10-30;0.00150;0-5;0.00372 ;0-10;6;HT;00000026.DAT;uninfected;uninfected;34,4;0;
G63;15:15-15:45;20;A;4;0.588;0-30;0.574;0-30;0.626;5-30;0.666;10-30;0.310;0-5;0.387;0-10;7;Control;00000026.DAT;infected;infected;33,4;3;
P26;15:15-15:45;20;A;8;0.480;0-30;0.457;0-30;0.501;5-30;0.528;10-30;0.238;0-5;0.316;0-10;8;Control;00000026.DAT;uninfected;uninfected;34;0;
G44;16:35-17:05;21;B;1;0.494;0-30;0.482;0-30;0.571;5-30;0.526;10-30;0.0470;0-5;0.399;0-10;1;CM;00000027.DAT;infected;uninfected;34,4;0;
B89;16:35-17:05;21;B;2;0.323;0-30;0.311;0-30;0.347;5-30;0.374;10-30;0.113;0-5;0.176;0-10;2;CM;00000027.DAT;uninfected;uninfected;32,1;0;
Y49;16:35-17:05;21;B;6;0.375;0-30;0.374;0-30;0.391;5-30;0.408;10-30;0.290 ;0-5;0.307;0-10;3;HS;00000027.DAT;infected;infected;32,4;2;
B16;16:35-17:05;21;B;7;0.512;0-30;0.534 ;0-30;0.465;5-30;0.421;10-30;0.884 ;0-5;0.763;0-10;4;HS;00000027.DAT;uninfected;uninfected;30,6;0;
Y23;16:35-17:05;21;A;1;0.692;0-30;0.725 ;0-30;0.734;5-30;0.708;10-30;0.674 ;0-5;0.756;0-10;5;HT;00000027.DAT;infected;infected;34,8;8;
B56;16:35-17:05;21;A;3;0.255;0-30;0.0932;0-30;0.107 ;5-30;0.122;10-30;0.0270;0-5;0.0365;0-10;6;HT;00000027.DAT;uninfected;uninfected;34,6;0;
Y81;16:35-17:05;21;A;4;0.396;0-30;0.430;0-30;0.462;5-30;0.466;10-30;0.265 ;0-5;0.356;0-10;7;Control;00000027.DAT;infected;infected;33,1;18;
B78;16:35-17:05;21;A;8;0.611;0-30;0.606;0-30;0.714;5-30;0.740;10-30;0.0598;0-5;0.333;0-10;8;Control;00000027.DAT;uninfected;uninfected;34,2;0;
Y14;10:55-11:25;22;B;1;0.340;0-30;0.323;0-30;0.381;5-30;0.464;10-30;0.0172;0-5;0.0348;0-10;1;CM;00000028.DAT;infected;infected;34,6;4;
P44;10:55-11:25;22;B;2;0.407;0-30;0.407;0-30;0.402;5-30;0.403;10-30;0.433;0-5;0.417;0-10;2;CM;00000028.DAT;uninfected;uninfected;33,4;0;
Y63;10:55-11:25;22;B;6;0.471;0-30;0.470;0-30;0.543;5-30;0.644;10-30;0.101 ;0-5;0.120;0-10;3;HS;00000028.DAT;infected;infected;30,6;8;
P4;10:55-11:25;22;B;7;0.404;0-30;0.394;0-30;0.467;5-30;0.551;10-30;0.0126;0-5;0.0714;0-10;4;HS;00000028.DAT;uninfected;uninfected;28,9;0;
Y67;10:55-11:25;22;A;1;0.388;0-30;0.342;0-30;0.360 ;5-30;0.389 ;10-30;0.239 ;0-5;0.242;0-10;5;HT;00000028.DAT;infected;infected;31,7;96;
P86;10:55-11:25;22;A;3;0.798;0-30;0.798;0-30;0.859;5-30;0.947;10-30;0.489 ;0-5;0.497;0-10;6;HT;00000028.DAT;uninfected;uninfected;33,8;0;
Y45;10:55-11:25;22;A;4;0.462;0-30;0.464;0-30;0.366;5-30;0.271 ;10-30;0.962;0-5;0.853;0-10;7;Control;00000028.DAT;infected;infected;32;3;
P57;10:55-11:25;22;A;8;0.540;0-30;0.539;0-30;0.643;5-30;0.786;10-30;0.00138;0-5;0.0357;0-10;8;Control;00000028.DAT;uninfected;uninfected;30;0;
G80;12:20-12:50;23;B;1;0.390;0-30;0.388;0-30;0.447;5-30;0.468;10-30;0.0954 ;0-5;0.229;0-10;1;CM;00000029.DAT;infected;infected;32;7;
B54;12:20-12:50;23;B;2;0.384;0-30;0.374;0-30;0.396;5-30;0.387;10-30;0.268;0-5;0.350;0-10;2;CM;00000029.DAT;uninfected;uninfected;34,4;0;
G26;12:20-12:50;23;B;6;0.403;0-30;0.404;0-30;0.480;5-30;0.596;10-30;0.00275;0-5;0.00976;0-10;3;HS;00000029.DAT;infected;infected;33,6;4;
B68;12:20-12:50;23;B;7;0.743;0-30;0.729;0-30;0.838;5-30;0.924;10-30;0.175;0-5;0.335;0-10;4;HS;00000029.DAT;uninfected;uninfected;34,8;0;
G11;12:20-12:50;23;A;1;0.275;0-30;0.257 ;0-30;0.302;5-30;0.316 ;10-30;0.0267;0-5;0.138 ;0-10;5;HT;00000029.DAT;infected;infected;32;1;
B93;12:20-12:50;23;A;3;0.392;0-30;0.287;0-30;0.330;5-30;0.378;10-30;0.0468;0-5;0.0920;0-10;6;HT;00000029.DAT;uninfected;uninfected;34,9;0;
G35;12:20-12:50;23;A;4;0.518;0-30;0.521;0-30;0.562;5-30;0.506 ;10-30;0.313;0-5;0.551;0-10;7;Control;00000029.DAT;infected;infected;34,2;30;
B73;12:20-12:50;23;A;8;0.790;0-30;0.800;0-30;0.845;5-30;0.865;10-30;0.570;0-5;0.667;0-10;8;Control;00000029.DAT;uninfected;uninfected;34,4;0;
Y69;13:35-14:05;24;B;1;0.322;0-30;0.243;0-30;0.252;5-30;0.271;10-30;0.171;0-5;0.174;0-10;1;CM;00000030.DAT;infected;infected;33,5;11;
P11;13:35-14:05;24;B;2;0.211;0-30;0.192;0-30;0.216 ;5-30;0.255;10-30;0.0483;0-5;0.0528;0-10;2;CM;00000030.DAT;uninfected;uninfected;34;0;
Y18;13:35-14:05;24;B;6;0.584;0-30;0.531;0-30;0.587;5-30;0.588;10-30;0.249 ;0-5;0.415;0-10;3;HS;00000030.DAT;infected;infected;31,5;16;
P31;13:35-14:05;24;B;7;0.453;0-30;0.386;0-30;0.438;5-30;0.522;10-30;0.115;0-5;0.109;0-10;4;HS;00000030.DAT;uninfected;uninfected;33;0;
Y10;13:35-14:05;24;A;1;0.434;0-30;0.422;0-30;0.399 ;5-30;0.377;10-30;0.545;0-5;0.514;0-10;5;HT;00000030.DAT;infected;infected;33,7;4;
P14;13:35-14:05;24;A;3;0.722;0-30;0.734;0-30;0.715;5-30;0.735 ;10-30;0.852;0-5;0.744;0-10;6;HT;00000030.DAT;uninfected;uninfected;33,9;0;
Y87;13:35-14:05;24;A;4;0.493;0-30;0.478;0-30;0.539;5-30;0.579;10-30;0.155;0-5;0.268;0-10;7;Control;00000030.DAT;infected;infected;34;20;
P5;13:35-14:05;24;A;8;0.644;0-30;0.620;0-30;0.659;5-30;0.685;10-30;0.413;0-5;0.484;0-10;8;Control;00000030.DAT;uninfected;uninfected;33,5;0;
G36;15:00-15:30;25;B;1;0.380;0-30;0.389 ;0-30;0.393;5-30;0.402;10-30;0.357 ;0-5;0.358;0-10;1;CM;00000031.DAT;infected;infected;30;13;
B61;15:00-15:30;25;B;2;0.356;0-30;0.382;0-30;0.418;5-30;0.468;10-30;0.209;0-5;0.213;0-10;2;CM;00000031.DAT;uninfected;uninfected;34,9;0;
G88;15:00-15:30;25;B;6;0.359;0-30;0.359;0-30;0.361;5-30;0.398 ;10-30;0.329 ;0-5;0.271;0-10;3;HS;00000031.DAT;infected;infected;34,6;12;
B62;15:00-15:30;25;B;7;0.734;0-30;0.747;0-30;0.809;5-30;0.793;10-30;0.447 ;0-5;0.660;0-10;4;HS;00000031.DAT;uninfected;uninfected;30;0;
G16;15:00-15:30;25;A;1;0.422;0-30;0.431;0-30;0.421;5-30;0.314;10-30;0.485 ;0-5;0.665;0-10;5;HT;00000031.DAT;infected;infected;33,5;6;
B45;15:00-15:30;25;A;3;0.455;0-30;0.429;0-30;0.497;5-30;0.548;10-30;0.0944;0-5;0.194;0-10;6;HT;00000031.DAT;uninfected;uninfected;32;0;
G47;15:00-15:30;25;A;4;0.667;0-30;0.666;0-30;0.792;5-30;0.795 ;10-30;0.0391;0-5;0.409;0-10;7;Control;00000031.DAT;infected;infected;32;31;
B53;15:00-15:30;25;A;8;0.425;0-30;0.400;0-30;0.472;5-30;0.529;10-30;0.0500;0-5;0.147;0-10;8;Control;00000031.DAT;uninfected;uninfected;29,2;0;
Y13;16:20-16:50;26;B;1;0.668;0-30;0.676;0-30;0.692;5-30;0.707;10-30;0.609 ;0-5;0.622;0-10;1;CM;00000032.DAT;infected;infected;31,6;6;
P16;16:20-16:50;26;B;2;0.545;0-30;0.525;0-30;0.547;5-30;0.536;10-30;0.433 ;0-5;0.512;0-10;2;CM;00000032.DAT;uninfected;uninfected;35;0;
G9;16:20-16:50;26;B;6;0.486;0-30;0.475;0-30;0.566;5-30;0.704;10-30;0.00445;0-5;0.00762;0-10;3;HS;00000032.DAT;infected;infected;31;4;
B98;16:20-16:50;26;B;7;0.402;0-30;0.393;0-30;0.317;5-30;0.351;10-30;0.780 ;0-5;0.479;0-10;4;HS;00000032.DAT;uninfected;uninfected;32,6;0;
G67;16:20-16:50;26;A;1;0.737;0-30;0.704;0-30;0.743;5-30;0.740;10-30;0.507;0-5;0.630 ;0-10;5;HT;00000032.DAT;infected;infected;33,5;8;
B18;16:20-16:50;26;A;3;0.504;0-30;0.459;0-30;0.514;5-30;0.551;10-30;0.173;0-5;0.270;0-10;6;HT;00000032.DAT;uninfected;uninfected;30,2;0;
G23;16:20-16:50;26;A;4;0.595;0-30;0.595;0-30;0.658;5-30;0.754;10-30;0.266;0-5;0.270 ;0-10;7;Control;00000032.DAT;infected;infected;30;23;
B67;16:20-16:50;26;A;8;0.676;0-30;0.670;0-30;0.698;5-30;0.719;10-30;0.537;0-5;0.575;0-10;8;Control;00000032.DAT;uninfected;uninfected;33,2;0;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
