Video;Arena;Sequence;Individual;Beginning_seq;End_seq;Prop_time_lost;Smoothing_filter_window;Smoothing_Polyorder;Moving_threshold;Prop_time_moving;Average_Speed;Average_Speed_Moving;Traveled_Dist;Meander;Traveled_Dist_Moving;Meander_moving;Exploration_absolute_value;Exploration_relative_value;Exploration_method;Exploration_area;Exploration_aspect_param;Mean_nb_neighbours;Prop_time_with_at_least_one_neighbour;Mean_shortest_interind_distance;Mean_sum_interind_distances
20250701_151554_1_stabilized_1A.avi;0;General;1A_Control2_6;0.0;4.0;0.0;0;0;0;1.0;0.18548249279234033;0.1854824927923403;0.74188051246853;60415.91307305963;0.74188051246853;60415.91307305962;1.2801708793164828;0.00692785475394171;Modern;1;NA;0.0;0.0;4.431210522371361;41.58587479044449
20250701_151554_1_stabilized_1A.avi;0;General;1A_Control2_1;0.0;4.0;0.0;0;0;0;1.0;0.09252556529480663;0.09252556529480663;0.3700775893399372;60639.22546015151;0.3700775893399372;60639.225460151516;1.1420434318262727;0.00618035540896691;Modern;1;NA;0.0;0.0;4.452835989935405;41.38146322427855
20250701_151554_1_stabilized_1A.avi;0;General;1A_Control2_2;0.0;4.0;0.0;0;0;0;1.0;0.16570665865674097;0.16570665865674097;0.6627824491303551;67006.8074696909;0.6627824491303552;67006.80746969092;1.4339622641509435;0.007760122065872416;Modern;1;NA;0.0;0.0;4.5771411047483594;41.541492794402
20250701_151554_1_stabilized_1A.avi;0;General;1A_Control2_4;0.0;4.0;0.0;0;0;0;0.9916666666666667;0.07553213815266786;0.07616686200269028;0.3021084120498681;60424.67320012757;0.3021084120498681;60424.673200127574;1.1164115343538628;0.006041644190311792;Modern;1;NA;0.0;0.0;4.12379773667016;40.453695668333246
20250701_151554_1_stabilized_1A.avi;0;General;1A_Control2_7;0.0;4.0;0.0;0;0;0;1.0;0.8237442404415882;0.8237442404415882;3.2947573112789343;7520.216851388075;3.2947573112789343;7520.216851388074;2.689925240299039;0.014556971779973182;Modern;1;NA;0.0;0.0;4.449687027702978;29.234220271563235
20250701_151554_1_stabilized_1A.avi;0;General;1A_Control2_5;0.0;4.0;0.0;0;0;0;1.0;0.8216950159065767;0.8216950159065768;3.286560959562336;11787.876494008873;3.286560959562336;11787.876494008873;2.4563901744393024;0.013293158454448777;Modern;1;NA;0.0;0.0;4.431210522371361;39.71614567029248
20250701_151554_1_stabilized_1A.avi;0;General;1A_Control2_3;0.0;4.0;0.0;0;0;0;1.0;1.269324264587795;1.269324264587795;5.076958594444884;25670.924565275316;5.076958594444884;25670.924565275316;3.112851548593806;0.016845706887782624;Modern;1;NA;0.0;0.0;4.123869485945922;41.81617956255542
20250701_151554_1_stabilized_1A.avi;1;General;1A_CM2_3;0.0;4.0;0.0;0;0;0;1.0;1.085116201580242;1.085116201580242;4.340175461290214;26386.380202895496;4.340175461290214;26386.3802028955;3.1883232467070135;0.01857752111647666;Modern;1;NA;0.0;0.0;4.803756239381842;41.231116866625264
20250701_151554_1_stabilized_1A.avi;1;General;1A_CM2_6;0.0;4.0;0.0;0;0;0;1.0;7.680287389494437;7.680287389494437;30.719101617869892;2260.141196548134;30.719101617869885;2260.141196548134;10.630117479530082;0.061938899122151975;Modern;1;NA;0.0;0.0;2.6938946114865416;35.00028125377922
20250701_151554_1_stabilized_1A.avi;1;General;1A_CM2_7;0.0;4.0;0.0;0;0;0;1.0;5.548818765005861;5.548818765005861;22.193795473658533;20094.148438592343;22.193795473658533;20094.148438592343;7.467426130295479;0.04351072833175686;Modern;1;NA;0.0;0.0;2.177814466332275;26.57987860471135
20250701_151554_1_stabilized_1A.avi;1;General;1A_CM2_2;0.0;4.0;0.0;0;0;0;0.9833333333333333;0.9323750529243013;0.9481780199230184;3.7292515949242095;56544.27262573076;3.72925159492421;56544.272625730744;3.8661445354218587;0.022527007517299746;Modern;1;NA;0.0;0.0;4.625607099984383;42.54914747057918
20250701_151554_1_stabilized_1A.avi;1;General;1A_CM2_5;0.0;4.0;0.0;0;0;0;0.9833333333333333;5.9512494296198915;6.052118064020228;23.803410824424603;1708.1326167168074;23.803410824424603;1708.1326167168074;9.727305090779637;0.05667844874794643;Modern;1;NA;0.0;0.0;1.462310372581722;28.93127217597536
20250701_151554_1_stabilized_1A.avi;1;General;1A_CM2_1;0.0;4.0;0.0;0;0;0;1.0;8.002471234873234;8.002471234873234;32.0077510894203;3168.395233994704;32.0077510894203;3168.395233994704;14.504805980776078;0.0845156900814789;Modern;1;NA;0.0;0.0;2.8433914560816693;42.13748282579378
20250701_151554_1_stabilized_1A.avi;1;General;1A_CM2_4;0.0;4.0;0.0;0;0;0;0.8083333333333333;4.707139405498774;5.823265243916008;18.827302468497194;3727.631254334481;18.827302468497198;3727.6312543344807;5.07938768244927;0.029596256285159557;Modern;1;NA;0.0;0.0;1.750339938084327;35.01866879325528
20250701_151554_1_stabilized_1A.avi;2;General;1A_HT2_4;0.0;4.0;0.0;0;0;0;1.0;8.64010036162929;8.640100361629289;34.558097573345606;694.0654108137925;34.5580975733456;694.0654108137924;9.127803488786045;0.05347638195985517;Modern;1;NA;0.0;0.0;1.7343675282883906;32.990636194883685
20250701_151554_1_stabilized_1A.avi;2;General;1A_HT2_7;0.0;4.0;0.0;0;0;0;1.0;0.7444993567071619;0.744499356707162;2.977798906901522;30139.756817253012;2.9777989069015214;30139.756817253012;3.1342114631541476;0.018362171091051673;Modern;1;NA;0.0;0.0;1.7282384526561714;30.897092399802723
20250701_151554_1_stabilized_1A.avi;2;General;1A_HT2_1;0.0;4.0;0.0;0;0;0;1.0;1.2760709807969517;1.2760709807969515;5.10394366027712;15997.618568271026;5.10394366027712;15997.618568271026;4.004271982912068;0.02345952980828592;Modern;1;NA;0.0;0.0;4.959715222722717;43.85243043525762
20250701_151554_1_stabilized_1A.avi;2;General;1A_HT2_3;0.0;4.0;0.0;0;0;0;0.9916666666666667;5.339784230323455;5.384656366712727;21.357713073755573;5490.826641694631;21.357713073755576;5490.826641694632;2.7953008187967248;0.016376620559624914;Modern;1;NA;0.0;0.0;3.7699032496626765;41.992977317893164
20250701_151554_1_stabilized_1A.avi;2;General;1A_HT2_5;0.0;4.0;0.0;0;0;0;1.0;0.3528846667829845;0.3528846667829845;1.411444570827216;65696.83495452745;1.411444570827216;65696.83495452745;1.965112139551442;0.011512856022558523;Modern;1;NA;0.0;0.0;4.896474203432206;47.106052817698206
20250701_151554_1_stabilized_1A.avi;2;General;1A_HT2_6;0.0;4.0;0.0;0;0;0;1.0;0.3397839757988304;0.3397839757988303;1.3590453001753093;29331.986110344755;1.3590453001753096;29331.986110344755;1.6247775008899965;0.009518962841840055;Modern;1;NA;0.0;0.0;4.912761610542625;42.3484465342484
20250701_151554_1_stabilized_1A.avi;2;General;1A_HT2_2;0.0;4.0;0.0;0;0;0;1.0;0.5237573224226908;0.5237573224226909;2.094889630382071;51958.471684596945;2.094889630382071;51958.471684596945;2.3823424706301175;0.013957252265029283;Modern;1;NA;0.0;0.0;4.50668813921303;45.44774758165203
