Arena ID;Rep;Group;Time;Start_Time (min);Time;A(t);P_Status;Status;Notes
Control2;1;Control;15:18-17:18;;105;0,00%;uninfected;uninfected;
Control2;1;Control;15:18-17:18;;110;0,00%;uninfected;uninfected;
Control2;1;Control;15:18-17:18;;115;0,00%;uninfected;uninfected;
Control2;1;Control;15:18-17:18;;120;0,00%;uninfected;uninfected;
HS1;1;HS;15:18-17:18;24;5;0,00%;infected;infected;
HS1;1;HS;15:18-17:18;;10;0,00%;infected;infected;
HS1;1;HS;15:18-17:18;;15;0,00%;infected;infected;
HS1;1;HS;15:18-17:18;;20;0,00%;infected;infected;
HS1;1;HS;15:18-17:18;;25;57,14%;infected;infected;
HS1;1;HS;15:18-17:18;;30;57,14%;infected;infected;
HS1;1;HS;15:18-17:18;;35;57,14%;infected;infected;
HS1;1;HS;15:18-17:18;;40;57,14%;infected;infected;
HS1;1;HS;15:18-17:18;;45;28,57%;infected;infected;
HS1;1;HS;15:18-17:18;;50;0,00%;infected;infected;
HS1;1;HS;15:18-17:18;;55;28,57%;infected;infected;
HS1;1;HS;15:18-17:18;;60;0,00%;infected;infected;
HS1;1;HS;15:18-17:18;;65;0,00%;infected;infected;
HS1;1;HS;15:18-17:18;;70;0,00%;infected;infected;
HS1;1;HS;15:18-17:18;;75;0,00%;infected;infected;
HS1;1;HS;15:18-17:18;;80;0,00%;infected;infected;
HS1;1;HS;15:18-17:18;;85;0,00%;infected;infected;
HS1;1;HS;15:18-17:18;;90;0,00%;infected;infected;
HS1;1;HS;15:18-17:18;;95;0,00%;infected;infected;
HS1;1;HS;15:18-17:18;;100;0,00%;infected;infected;
HS1;1;HS;15:18-17:18;;105;0,00%;infected;infected;
HS1;1;HS;15:18-17:18;;110;0,00%;infected;infected;
HS1;1;HS;15:18-17:18;;115;0,00%;infected;infected;
HS1;1;HS;15:18-17:18;;120;0,00%;infected;infected;
HS2;1;HS;15:18-17:18;16;5;0,00%;uninfected;uninfected;
HS2;1;HS;15:18-17:18;;10;0,00%;uninfected;uninfected;
HS2;1;HS;15:18-17:18;;15;0,00%;uninfected;uninfected;
HS2;1;HS;15:18-17:18;;20;28,57%;uninfected;uninfected;
HS2;1;HS;15:18-17:18;;25;57,14%;uninfected;uninfected;
HS2;1;HS;15:18-17:18;;30;57,14%;uninfected;uninfected;
HS2;1;HS;15:18-17:18;;35;57,14%;uninfected;uninfected;
HS2;1;HS;15:18-17:18;;40;57,14%;uninfected;uninfected;
HS2;1;HS;15:18-17:18;;45;57,14%;uninfected;uninfected;
HS2;1;HS;15:18-17:18;;50;28,57%;uninfected;uninfected;
HS2;1;HS;15:18-17:18;;55;57,14%;uninfected;uninfected;
HS2;1;HS;15:18-17:18;;60;57,14%;uninfected;uninfected;
HS2;1;HS;15:18-17:18;;65;57,14%;uninfected;uninfected;
HS2;1;HS;15:18-17:18;;70;57,14%;uninfected;uninfected;
HS2;1;HS;15:18-17:18;;75;57,14%;uninfected;uninfected;
HS2;1;HS;15:18-17:18;;80;57,14%;uninfected;uninfected;
HS2;1;HS;15:18-17:18;;85;57,14%;uninfected;uninfected;
HS2;1;HS;15:18-17:18;;90;57,14%;uninfected;uninfected;
HS2;1;HS;15:18-17:18;;95;71,43%;uninfected;uninfected;
HS2;1;HS;15:18-17:18;;100;71,43%;uninfected;uninfected;
HS2;1;HS;15:18-17:18;;105;57,14%;uninfected;uninfected;
HS2;1;HS;15:18-17:18;;110;57,14%;uninfected;uninfected;
HS2;1;HS;15:18-17:18;;115;57,14%;uninfected;uninfected;
HS2;1;HS;15:18-17:18;;120;57,14%;uninfected;uninfected;
HT1;1;HT;15:18-17:18;36;5;0,00%;infected;infected;
HT1;1;HT;15:18-17:18;;10;0,00%;infected;infected;
HT1;1;HT;15:18-17:18;;15;0,00%;infected;infected;
HT1;1;HT;15:18-17:18;;20;0,00%;infected;infected;
HT1;1;HT;15:18-17:18;;25;0,00%;infected;infected;
HT1;1;HT;15:18-17:18;;30;0,00%;infected;infected;
HT1;1;HT;15:18-17:18;;35;0,00%;infected;infected;
HT1;1;HT;15:18-17:18;;40;28,57%;infected;infected;
HT1;1;HT;15:18-17:18;;45;28,57%;infected;infected;
HT1;1;HT;15:18-17:18;;50;28,57%;infected;infected;
HT1;1;HT;15:18-17:18;;55;28,57%;infected;infected;
HT1;1;HT;15:18-17:18;;60;28,57%;infected;infected;
HT1;1;HT;15:18-17:18;;65;28,57%;infected;infected;
HT1;1;HT;15:18-17:18;;70;28,57%;infected;infected;
HT1;1;HT;15:18-17:18;;75;28,57%;infected;infected;
HT1;1;HT;15:18-17:18;;80;28,57%;infected;infected;
HT1;1;HT;15:18-17:18;;85;57,14%;infected;infected;
HT1;1;HT;15:18-17:18;;90;57,14%;infected;infected;
HT1;1;HT;15:18-17:18;;95;57,14%;infected;infected;
HT1;1;HT;15:18-17:18;;100;57,14%;infected;infected;
HT1;1;HT;15:18-17:18;;105;71,43%;infected;infected;
HT1;1;HT;15:18-17:18;;110;71,43%;infected;infected;
